CellLine,Gene,FC,n,stderr,pvalue,order,order2,Color
GSC-28 (Day 7),LV-pCDH,1,4,0.084114896,,1,1,#F8766D
GSC-28 (Day 7),LV-uc.110,4.253521127,4,0.366918755,*,2,1,#0CB702
U87 (Day 7),LV-pCDH,1,9,0.088676268,,1,1,#F8766D
U87 (Day 7),LV-uc.110,1.52466985,9,0.109970329,*,2,1,#0CB702
