CellLine,Gene,Sample,FC,n,stderr,pvalue,order,order2,Color
U87,GBX2,LV-pCDH,1,3,0.005688753,,1,1,#F8766D
U87,GBX2,LV-uc.110,1.03168608,3,0.000986944,,2,1,#0CB702
A172,GBX2,si-SCR,1,6,0.005262771,,1,2,#F8766D
A172,GBX2,si-uc.110-1,1.001524365,6,0.00534865,,2,2,#0CB702
A172,GBX2,si-uc.110-2,1.025842441,6,0.005835405,,3,2,#00A9FF
