"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","annot"
"1","uc.9",1.0511148184487,1.82646381262375,1.07128877805889,1.70492200612163,0.0882089715410136,0.180232385094611,"intergenic"
"2","uc.10",1.32676959479371,2.12423024341166,1.05069080678283,2.02174629272333,0.0432025687617757,0.10545508674441,"intergenic"
"3","uc.14",0.758663690628967,0.728935643643324,1.07103007338785,0.68059306807098,0.496129014350341,0.635617391979034,"intergenic"
"4","uc.16",0.481883564290969,0.0569697499259485,1.34406943923932,0.0423860168699251,0.96619097525341,0.979142596905601,"intergenic"
"5","uc.17",1.3687357443831,-1.0988431756991,1.06809596990674,-1.02878693175394,0.303579808964001,0.460790441691992,"intergenic"
"6","uc.18",366.09766630217,0.0192852307634813,0.672913537667937,0.0286592997226904,0.977136317139141,0.987586972937421,"intergenic"
"7","uc.26",1.31930579300361,-0.664952825517759,1.04604717455346,-0.635681489031906,0.524984043970276,0.652776212568304,"intergenic"
"8","uc.27",0.907942182855396,-1.78034365595254,1.06663969538316,-1.66911438197788,0.0950947135802166,0.190189427160433,"intergenic"
"9","uc.30",0.149367055465021,-0.42795436758842,2.41190755563956,-0.177433984394538,0.859167515108731,NA,"intergenic"
"10","uc.31",1.33232053859391,0.5088212107758,1.30382796931254,0.3902517991266,0.696350361856116,0.797637687217005,"intergenic"
"11","uc.38",0.0720187126870171,0.01001673380585,5.17464343039227,0.00193573411203922,0.998455508602737,NA,"intergenic"
"12","uc.39",0.185045088716781,0.201246735908226,3.51189277254575,0.0573043509418836,0.954302754500176,NA,"intergenic"
"13","uc.41",0.255718489016649,0.644571085346167,1.79486427479174,0.35911968074631,0.719505559216069,NA,"intergenic"
"14","uc.283",0.0901936229722019,-1.10931621617574,3.14693827528571,-0.352506506049925,0.72445844009261,NA,"intergenic"
"15","uc.284",0.253589767236818,-1.31472615313666,1.88394461541789,-0.697858176072248,0.485265892521373,NA,"intergenic"
"16","uc.286",0.648730976761336,-0.198549949899473,1.40689958911684,-0.141125885198467,0.88777049486558,0.934604480131043,"intergenic"
"17","uc.287",9.99728267111947,1.62525493268213,1.88905109088051,0.860355201893758,0.389593272163908,0.533573394485352,"intergenic"
"18","uc.293",0.697527645712417,-1.57628262201634,0.859721117141576,-1.83348133550239,0.066731021726887,0.146653059376531,"intergenic"
"19","uc.294",0.724996072531764,-0.636778021294933,0.972230955129863,-0.654965795868819,0.512489776319678,0.647896774076382,"intergenic"
"20","uc.295",0.684384880136979,-2.0001476219788,0.906304712690445,-2.20692620701617,0.0273192151780361,0.071218367843432,"intergenic"
"21","uc.296",0.754555884186118,0.164733465675646,1.07817224616687,0.152789562392566,0.878564229091991,0.933378127929809,"intergenic"
"22","uc.297",0.687357679564642,0.584357609212763,1.04667493513538,0.55829903783564,0.57664020185269,0.698621783013836,"intergenic"
"23","uc.298",0.765229293969668,-0.470855893465605,0.987248964635135,-0.47693733833352,0.633406742833343,0.745880837355152,"intergenic"
"24","uc.302",0.484181478149538,-0.471456396073681,1.10907871367106,-0.425088310020086,0.670772299379826,0.782567682609797,"intergenic"
"25","uc.303",0.592862669134196,0.958589022635925,1.11234301127384,0.861774662060543,0.388811530657694,0.533573394485352,"intergenic"
"26","uc.304",0.910383930020291,-1.58958745547297,0.589307637085674,-2.69738139375559,0.00698871758375655,0.0237994166365764,"intergenic"
"27","uc.314",0.190359099829499,-1.19067699769279,2.20086779579571,-0.541003416910062,0.588505227562902,NA,"intergenic"
"28","uc.315",0.159969965160906,-1.28356808772863,2.58740404313218,-0.496083358583149,0.619835599789949,NA,"intergenic"
"29","uc.316",0.0447628396860082,-0.0768927417843244,5.28593574113701,-0.0145466660114534,0.988393849100628,NA,"intergenic"
"30","uc.319",0.833357758261894,0.25092468358897,1.24413137450415,0.201686645583531,0.840161703342078,0.918674290526833,"intergenic"
"31","uc.320",0.821663944715548,1.42906877096846,1.46093839597426,0.978185510700777,0.32798258133138,0.483653153035077,"intergenic"
"32","uc.321",0.633357471016121,1.55822849683351,1.51831418738932,1.02628857042614,0.304755583129624,0.460790441691992,"intergenic"
"33","uc.329",0.204926538115455,0.394568712555035,2.03882982596335,0.193527045528972,0.846546227129625,NA,"intergenic"
"34","uc.332",0.282055055177896,-1.04286501449668,1.26988105606678,-0.821230468408406,0.411515004639984,NA,"intergenic"
"35","uc.339",15.8483897391309,-1.82946783069543,0.566513367081727,-3.229346273186,0.00124073565635646,0.00571948875735051,"intergenic"
"36","uc.340",0.971366685824133,1.01435717697669,1.14371946617593,0.886893339647553,0.375136327849778,0.52135461856051,"intergenic"
"37","uc.347",0.043368610358771,-0.0769055896449396,5.83212228832911,-0.0131865529978407,0.989478957862582,NA,"intergenic"
"38","uc.351",0.0214573374349167,-0.146512857473758,8.61180177666705,-0.0170130317990739,0.98642621940476,NA,"intergenic"
"39","uc.352",0.0103354511293901,-0.181274014839831,8.61180177666705,-0.0210494876148889,0.983206178998728,NA,"intergenic"
"40","uc.353",0.03571330204308,-0.129128970834862,8.51823765368513,-0.0151591181280319,0.987905236919163,NA,"intergenic"
"41","uc.355",0.892420780461669,0.939167782175287,1.38507576854476,0.678062387274329,0.497732137634376,0.635617391979034,"intergenic"
"42","uc.357",10.1589542896403,-1.08074787957308,0.966403988932762,-1.11831893488622,0.263430802774582,0.408101817413082,"intergenic"
"43","uc.358",0.771760051427355,0.1506769326576,1.28590737378129,0.117175572463299,0.906720923902418,0.946796986837331,"intergenic"
