Term,Ont,N,DE,P.DE
cell junction,CC,1298,93,2.6149776448735567e-11
nucleoplasm,CC,3512,501,5.150457444932558e-117
nucleus,CC,7932,765,2.4954484657051794e-106
nuclear lumen,CC,4594,555,1.6769312697524444e-101
nuclear part,CC,5023,582,2.147615973964954e-100
chromosome,CC,1075,245,1.793498759301715e-92
chromosomal part,CC,951,217,2.749993574495666e-81
intracellular organelle lumen,CC,5740,586,3.4178675091969282e-77
membrane-enclosed lumen,CC,5740,586,3.4178675091969282e-77
organelle lumen,CC,5740,586,3.4178675091969282e-77
intracellular part,CC,15063,1023,3.957315977254015e-76
intracellular,CC,15073,1023,7.167966318352194e-76
intracellular membrane-bounded organelle,CC,11488,878,2.0234073739087415e-71
intracellular organelle,CC,13294,951,8.11965598458159e-70
cytoplasm,CC,11625,69,1.1642145498813028e-4
membrane-bounded organelle,CC,13019,74,1.7097639066338398e-4
intracellular membrane-bounded organelle,CC,11488,68,1.730476458766641e-4
intracellular part,CC,15063,81,2.366987630715376e-4
intracellular,CC,15073,81,2.455095793738726e-4
nucleus,CC,7932,51,5.865575886278355e-4
intracellular organelle,CC,13294,73,0.0010324359674087884
organelle,CC,14144,76,0.0012405717377469156
eukaryotic translation initiation factor 4F complex,CC,13,2,0.0014742357952107425
cytoplasmic part,CC,9735,81,6.648468118775375e-4
chromosome,CC,1075,8,6.784788115301378e-5
MCM complex,CC,12,2,1.1787258216533327e-4
collagen trimer,CC,87,3,2.2437297103020134e-4
chromosomal part,CC,951,7,2.2805547190630454e-4
basement membrane,CC,95,3,2.908661368603048e-4
nuclear chromosome part,CC,572,5,9.619023665434885e-4
nuclear chromosome,CC,607,5,0.0012537135911073899
activin A complex,CC,1,1,0.001366653650917704
activin complex,CC,1,1,0.001366653650917704
cytoplasm,CC,11625,346,9.39576702574141e-19
intracellular,CC,15073,406,8.720776855177137e-18
intracellular part,CC,15063,405,2.268862070874975e-17
intracellular organelle,CC,13294,369,3.1086819704699358e-15
organelle,CC,14144,380,1.8519197174303548e-13
cytoplasmic part,CC,9735,290,6.730443375193398e-13
membrane-bounded organelle,CC,13019,355,4.0894738386253955e-12
intracellular membrane-bounded organelle,CC,11488,323,1.1003549139015936e-11
intracellular organelle part,CC,9811,281,6.725696329566367e-10
organelle part,CC,10112,287,9.28308147569488e-10
NMDA selective glutamate receptor complex,CC,11,1,0.0010735372286921896
plasma membrane protein complex,CC,681,2,0.001103260556636834
integral component of peroxisomal membrane,CC,15,2,4.2354165492531964e-4
intrinsic component of peroxisomal membrane,CC,15,2,4.2354165492531964e-4
mitochondrial matrix,CC,469,5,0.0026048622889795034
nucleoplasm,CC,3512,44,9.849305639830168e-10
nuclear lumen,CC,4594,50,4.7945266246441545e-9
nucleoplasm part,CC,1126,23,6.583606550588941e-9
nuclear part,CC,5023,52,1.095989027849332e-8
intracellular organelle part,CC,9811,74,6.546611266183347e-7
nucleus,CC,7932,64,1.2271751123957626e-6
intracellular part,CC,15063,95,1.43778447600388e-6
intracellular,CC,15073,95,1.5102349237877016e-6
organelle part,CC,10112,74,2.778107897493247e-6
intracellular organelle lumen,CC,5740,51,2.9851053647534853e-6
nucleoplasm,CC,3512,1163,2.4717561547156053e-162
nucleus,CC,7932,2007,7.688922646061983e-158
intracellular membrane-bounded organelle,CC,11488,2533,1.0093050353935979e-137
intracellular part,CC,15063,3006,2.9102379130955244e-129
intracellular,CC,15073,3007,3.8959724287492774e-129
intracellular organelle,CC,13294,2748,1.4506981630271106e-117
nuclear lumen,CC,4594,1290,1.332214480393892e-116
nuclear part,CC,5023,1367,1.2513532986296504e-113
membrane-bounded organelle,CC,13019,2695,1.7444367942905346e-111
organelle,CC,14144,2838,8.586194120751196e-106
Dsl1/NZR complex,CC,3,1,0.0032180969034614204
mitochondrial pyruvate dehydrogenase complex,CC,3,1,0.0032180969034614204
cilium,CC,611,18,1.3758698771431466e-11
ciliary part,CC,462,16,2.0240011849180262e-11
axoneme,CC,123,10,4.263044441378511e-11
ciliary plasm,CC,124,10,4.622762370567789e-11
axoneme part,CC,40,7,1.625438427939535e-10
plasma membrane bounded cell projection cytoplasm,CC,208,11,4.4786393628365785e-10
cytoskeletal part,CC,1688,22,2.4478504993763116e-7
motile cilium,CC,179,8,4.463649208410031e-7
nucleus,CC,7932,2034,5.304797564239627e-159
nucleoplasm,CC,3512,1117,1.1759828550535344e-133
intracellular part,CC,15063,3030,6.805878509089358e-120
intracellular,CC,15073,3030,3.018654274271109e-119
intracellular membrane-bounded organelle,CC,11488,2510,2.3434512813289336e-114
intracellular organelle,CC,13294,2771,2.4281188586053288e-111
nucleus,CC,7932,1837,2.755464502054549e-184
nucleoplasm,CC,3512,1012,5.876897026847396e-141
intracellular membrane-bounded organelle,CC,11488,2204,1.058654505104099e-126
intracellular part,CC,15063,2608,6.660849886737752e-121
intracellular,CC,15073,2608,2.5535260257276976e-120
intracellular organelle,CC,13294,2407,2.341980754012044e-118
neuron part,CC,1729,120,1.038179202661195e-28
synapse,CC,1171,94,8.364476621179337e-27
synapse part,CC,938,83,1.9435841740630524e-26
neuron projection,CC,1312,99,3.5065970848514e-26
plasma membrane bounded cell projection,CC,2103,118,2.7029991594242027e-20
cell projection,CC,2178,120,5.1403943469864175e-20
cell projection part,CC,1467,93,2.8219491767633163e-19
plasma membrane bounded cell projection part,CC,1467,93,2.8219491767633163e-19
postsynapse,CC,613,57,3.004557316077727e-19
axon,CC,606,56,8.465149907422433e-19
synaptic membrane,CC,432,46,5.636805928224999e-18
somatodendritic compartment,CC,843,62,7.010947647320581e-16
dendrite,CC,620,50,1.6723926776522644e-14
dendritic tree,CC,622,50,1.8962861608253506e-14
cell junction,CC,1298,76,6.170847502615453e-14
mitochondrial DNA-directed RNA polymerase complex,CC,1,1,9.273721202655016e-4
microbody membrane,CC,60,2,0.001396675363674467
peroxisomal membrane,CC,60,2,0.001396675363674467
integrin alphaM-beta2 complex,CC,2,2,1.3341666919681845e-7
tertiary granule membrane,CC,73,3,2.3993621577743475e-6
intermediate filament,CC,214,65,2.88911594550018e-47
intracellular membrane-bounded organelle,CC,11488,1362,7.017913653983381e-93
intracellular organelle,CC,13294,1484,2.132812491137879e-90
intracellular part,CC,15063,1589,2.800204656157831e-87
intracellular,CC,15073,1589,6.5123946370319805e-87
nucleoplasm,CC,3512,622,8.802591591360092e-87
intracellular organelle part,CC,9811,1205,1.4324061683499355e-80
membrane-bounded organelle,CC,13019,1444,2.1833381533772153e-79
organelle,CC,14144,1519,2.5391423592782023e-79
organelle part,CC,10112,1212,2.7848962327129866e-73
nuclear part,CC,5023,752,9.94274639928557e-73
nuclear lumen,CC,4594,699,6.012862442925957e-69
intracellular organelle lumen,CC,5740,801,5.571363532202331e-64
membrane-enclosed lumen,CC,5740,801,5.571363532202331e-64
organelle lumen,CC,5740,801,5.571363532202331e-64
nucleus,CC,7932,996,3.978201319996921e-61
cytoplasmic vesicle,CC,2314,286,7.995647704899189e-58
intracellular vesicle,CC,2317,286,1.0609175589723143e-57
integral component of membrane,CC,5330,40,1.6816034592847261e-9
intrinsic component of membrane,CC,5495,40,4.397041131789927e-9
plasma membrane part,CC,2985,28,2.605164993431678e-8
integral component of plasma membrane,CC,1634,20,8.32852287468982e-8
synaptic membrane,CC,432,11,1.0376411990355827e-7
membrane part,CC,6939,43,1.0456343623273363e-7
intrinsic component of plasma membrane,CC,1713,20,1.8027406183733082e-7
excitatory synapse,CC,50,5,5.214554752788539e-7
neuron part,CC,1729,19,1.015016443265525e-6
neuron projection,CC,1312,16,2.378870227451326e-6
catalytic complex,CC,1370,9,1.9956936791153344e-5
CRD-mediated mRNA stability complex,CC,6,2,2.1377846800984323e-5
protein-containing complex,CC,6151,17,9.866839067930229e-5
transferase complex,CC,779,6,2.823095355172317e-4
filamentous actin,CC,32,2,6.932783614518907e-4
chromosomal region,CC,349,4,7.888274726826358e-4
chromosomal part,CC,951,6,8.154884066153888e-4
nucleoplasm,CC,3512,83,7.00504582603958e-16
nucleus,CC,7932,132,1.369816861531261e-14
intracellular part,CC,15063,190,3.307974319253328e-14
intracellular,CC,15073,190,3.675064301884625e-14
nuclear lumen,CC,4594,89,5.842808779700474e-12
nuclear part,CC,5023,94,7.04078029722134e-12
intracellular membrane-bounded organelle,CC,11488,158,3.118264430526106e-11
organelle,CC,14144,179,3.919336578487102e-11
intracellular organelle,CC,13294,172,7.814097932033878e-11
intracellular organelle lumen,CC,5740,72,2.2641747514824473e-13
membrane-enclosed lumen,CC,5740,72,2.2641747514824473e-13
organelle lumen,CC,5740,72,2.2641747514824473e-13
intracellular organelle part,CC,9811,95,1.6656861725975898e-12
organelle part,CC,10112,95,1.483992340316666e-11
envelope,CC,1182,28,1.5546748782305935e-10
organelle envelope,CC,1182,28,1.5546748782305935e-10
intracellular membrane-bounded organelle,CC,11488,100,1.8890303891737034e-10
ribonucleoprotein complex,CC,1478,31,2.685871190392739e-10
nuclear part,CC,5023,61,4.258868206789853e-10
membrane-bounded organelle,CC,13019,106,7.685098171395623e-10
protein-containing complex,CC,6151,67,3.38251333615441e-9
intermediate filament,CC,214,23,7.666162716987614e-14
microtubule associated complex,CC,152,15,1.9612072571574167e-7
plasma membrane,CC,5637,64,1.4197121250953505e-4
cell periphery,CC,5756,65,1.4261753065124207e-4
intermediate filament,CC,214,26,3.869988412217846e-20
intermediate filament cytoskeleton,CC,251,26,2.2213888218390887e-18
synapse,CC,1171,101,7.784467275809133e-17
neuron part,CC,1729,130,1.1713780261601284e-16
synapse part,CC,938,86,5.764496190155033e-16
neuron to neuron synapse,CC,350,45,8.265808388770657e-14
cytosol,CC,5085,269,1.106025678603887e-13
cytoplasm,CC,11625,506,5.777798276016593e-13
postsynaptic density,CC,324,41,1.8206616147242076e-12
cell junction,CC,1298,97,2.334082937585028e-12
asymmetric synapse,CC,328,41,2.7223091026092037e-12
cell projection,CC,2178,139,3.728716751029363e-12
postsynapse,CC,613,59,4.05363632433622e-12
cell periphery,CC,5756,288,8.896874009535552e-12
neuron projection,CC,1312,96,1.023787485781889e-11
cell periphery,CC,5756,70,6.57505077638463e-5
neuron part,CC,1729,86,1.3809169993039085e-10
synapse,CC,1171,65,4.654254742647268e-10
cytoplasm,CC,11625,349,8.408102600174955e-10
synapse part,CC,938,55,1.7031379642782896e-9
neuron to neuron synapse,CC,350,30,2.8591975411345254e-9
postsynaptic density,CC,324,28,8.125835896468513e-9
nucleoplasm,CC,3512,109,1.0724623000981405e-15
intracellular part,CC,15063,275,3.831045972847828e-15
intracellular,CC,15073,275,4.393343311936964e-15
nucleus,CC,7932,180,7.833965495956285e-14
nuclear lumen,CC,4594,122,1.0445889978537657e-12
nuclear part,CC,5023,129,1.7088800443799367e-12
intracellular organelle lumen,CC,5740,141,2.1416446366918587e-12
membrane-enclosed lumen,CC,5740,141,2.1416446366918587e-12
organelle lumen,CC,5740,141,2.1416446366918587e-12
protein-containing complex,CC,6151,146,9.742493125640201e-12
parallel fiber to Purkinje cell synapse,CC,16,1,0.009333687306112948
nucleoplasm,CC,3512,443,9.220702963511208e-61
intracellular part,CC,15063,1111,7.905815345667724e-51
intracellular,CC,15073,1111,1.358236305102729e-50
intracellular membrane-bounded organelle,CC,11488,920,2.5766013122357744e-44
intracellular organelle part,CC,9811,823,1.99068597348608e-43
organelle part,CC,10112,838,1.557982838290117e-42
intracellular organelle,CC,13294,1009,4.6658689870960746e-42
nuclear part,CC,5023,507,2.4818796355999386e-40
nuclear lumen,CC,4594,476,3.265744895171516e-40
organelle,CC,14144,1044,3.9454675752805744e-39
nucleus,CC,7932,691,3.499013085588954e-37
membrane-bounded organelle,CC,13019,981,1.2792227025268957e-36
intracellular organelle lumen,CC,5740,532,4.6431857993324455e-32
membrane-enclosed lumen,CC,5740,532,4.6431857993324455e-32
organelle lumen,CC,5740,532,4.6431857993324455e-32
nucleoplasm part,CC,1126,171,2.1568745000761396e-30
nucleus,CC,7932,273,1.5835720547309602e-33
cytoplasm,CC,11625,141,6.597362118006419e-9
endoplasmic reticulum,CC,1911,43,1.0110930971483648e-8
endoplasmic reticulum part,CC,1361,35,1.2171947712052964e-8
basement membrane,CC,95,10,1.3242557567501197e-8
endoplasmic reticulum lumen,CC,309,15,1.2750162176728668e-7
intracellular part,CC,15063,163,1.6113759819125204e-7
intracellular,CC,15073,163,1.7333742546801704e-7
organelle,CC,14144,156,3.023418388957348e-7
collagen-containing extracellular matrix,CC,406,16,7.960068218129407e-7
extracellular matrix,CC,526,18,1.225176478504565e-6
intracellular organelle,CC,13294,148,1.413964882434963e-6
intermediate filament,CC,214,43,5.272335330092457e-34
neuron part,CC,1729,207,1.5637184793921919e-25
neuron projection,CC,1312,166,6.851778664205707e-23
axon,CC,606,101,1.283243813733164e-22
somatodendritic compartment,CC,843,121,3.27373491299339e-21
cell projection,CC,2178,226,1.0297908546255826e-19
cell periphery,CC,5756,285,1.405635825153796e-15
plasma membrane,CC,5637,280,2.0732469581989793e-15
plasma membrane part,CC,2985,168,6.591267731750882e-13
neuron part,CC,1729,112,2.818666025952829e-12
axon,CC,606,56,3.9661417014187295e-12
neuron projection,CC,1312,91,1.1762266718555983e-11
cell projection,CC,2178,129,2.394730718115939e-11
main axon,CC,68,17,5.1080071481489364e-11
plasma membrane bounded cell projection,CC,2103,123,1.7555565776643116e-10
plasma membrane region,CC,1198,82,2.645401583701333e-10
somatodendritic compartment,CC,843,64,5.09598518524821e-10
membrane part,CC,6939,305,5.701067704765047e-10
cell projection part,CC,1467,92,1.7827512402745342e-9
plasma membrane bounded cell projection part,CC,1467,92,1.7827512402745342e-9
intermediate filament,CC,214,46,1.0098171587373528e-36
mRNA cleavage factor complex,CC,20,3,9.575384587889422e-6
nucleoplasm,CC,3512,19,3.16939764913195e-5
nuclear part,CC,5023,22,1.4609206202861254e-4
protein-containing complex,CC,6151,24,3.747570489807874e-4
intracellular organelle lumen,CC,5740,23,3.7512280970212455e-4
cell periphery,CC,5756,302,1.156526446277185e-20
plasma membrane,CC,5637,297,1.727483771862864e-20
nucleoplasm,CC,3512,375,3.8798491313675493e-64
intracellular part,CC,15063,887,1.4011754641057302e-62
intracellular,CC,15073,887,2.317881444652367e-62
intracellular membrane-bounded organelle,CC,11488,763,6.906107543859598e-61
intracellular organelle,CC,13294,827,1.314497478343113e-59
intracellular organelle part,CC,9811,681,2.3351831471369363e-54
nuclear part,CC,5023,439,2.040816748008041e-51
organelle part,CC,10112,684,9.905501179525809e-50
organelle,CC,14144,839,1.313768919096832e-49
nuclear lumen,CC,4594,410,2.936341225871934e-49
membrane-bounded organelle,CC,13019,798,8.167065749366435e-49
nucleus,CC,7932,580,1.527913407640806e-47
nucleoplasm part,CC,1126,170,4.327671407826963e-45
intracellular organelle lumen,CC,5740,462,1.9498284190255802e-44
synapse,CC,1171,85,1.0729990219492626e-19
neuron part,CC,1729,104,4.118915704370738e-18
synapse part,CC,938,67,2.9516663589508023e-15
cell periphery,CC,5756,220,1.8515668926119027e-14
plasma membrane part,CC,2985,137,5.221175878149764e-14
plasma membrane,CC,5637,214,1.2652663683547844e-13
membrane part,CC,6939,249,1.4226225203666276e-13
somatodendritic compartment,CC,843,57,3.9897463138551415e-12
postsynapse,CC,613,47,4.883980361718817e-12
postsynaptic density,CC,324,33,5.128508940795892e-12
asymmetric synapse,CC,328,33,7.173489072090368e-12
nucleoplasm,CC,3512,109,1.530024827981502e-23
nuclear lumen,CC,4594,124,4.369398594042979e-22
nuclear part,CC,5023,130,8.187768653794895e-22
nucleus,CC,7932,169,1.0327297099567033e-21
intracellular organelle lumen,CC,5740,139,4.5953037388182004e-021
membrane-enclosed lumen,CC,5740,139,4.5953037388182004e-021
organelle lumen,CC,5740,139,4.5953037388182004e-021
intracellular membrane-bounded organelle,CC,11488,206,1.380436843624242e-20
intracellular organelle,CC,13294,220,5.68185027030753e-19
nucleoplasm part,CC,1126,51,1.2504428486706153e-16
membrane-bounded organelle,CC,13019,213,3.6749901214914596e-16
nucleoplasm,CC,3512,133,3.0461768798057937e-33
nuclear part,CC,5023,159,2.4512515195146372e-32
nucleus,CC,7932,202,5.977541573099299e-32
nuclear lumen,CC,4594,148,4.770243151046299e-30
intracellular organelle lumen,CC,5740,162,4.634145766557805e-27
membrane-enclosed lumen,CC,5740,162,4.634145766557805e-27
organelle lumen,CC,5740,162,4.634145766557805e-27
intracellular membrane-bounded organelle,CC,11488,235,7.111468178277877e-26
chromosome,CC,1075,62,5.659725287374387e-23
intracellular non-membrane-bounded organelle,CC,4784,65,6.376726648610741e-8
non-membrane-bounded organelle,CC,4793,65,6.873988698770156e-8
nucleoplasm,CC,3512,53,7.549130270818424e-8
intracellular organelle part,CC,9811,103,3.269226793473643e-7
nuclear part,CC,5023,65,4.3027581229849855e-7
nucleus,CC,7932,88,8.283828038943705e-7
intracellular organelle,CC,13294,125,8.402637880004912e-7
nuclear lumen,CC,4594,60,1.2274525521348298e-6
intracellular membrane-bounded organelle,CC,11488,113,1.2569915225981276e-6
organelle part,CC,10112,103,1.9682024831561284e-6
microtubule cytoskeleton,CC,1192,25,2.0464584792394143e-6
intracellular part,CC,15063,134,3.3422984566750472e-6
intracellular,CC,15073,134,3.5459122163666484e-6
organelle,CC,14144,128,6.476826684618687e-6
intracellular organelle lumen,CC,5740,66,2.5139335823938364e-5
cytoplasmic vesicle,CC,2314,115,2.0589974916732672e-16
intracellular vesicle,CC,2317,115,2.2645875731288625e-16
nucleoplasm,CC,3512,569,1.5732496059014782e-128
nuclear part,CC,5023,662,3.17679517490013e-109
nuclear lumen,CC,4594,626,1.0365633657261186e-107
nucleus,CC,7932,860,3.1251256629225455e-107
intracellular part,CC,15063,1184,3.8565242683492286e-85
intracellular membrane-bounded organelle,CC,11488,1023,5.186999162523777e-85
intracellular,CC,15073,1184,7.63696873124922e-85
intracellular organelle lumen,CC,5740,670,9.498250099908301e-85
membrane-enclosed lumen,CC,5740,670,9.498250099908301e-85
organelle lumen,CC,5740,670,9.498250099908301e-85
intracellular organelle,CC,13294,1108,2.042210519082279e-83
chromosome,CC,1075,245,6.824831483762902e-78
intracellular organelle part,CC,9811,913,1.7683723874072112e-75
organelle,CC,14144,1124,9.71232302196731e-70
organelle part,CC,10112,915,3.601619295566835e-68
membrane-bounded organelle,CC,13019,1068,1.2629977998203597e-67
cytoplasmic stress granule,CC,66,2,0.001512543696859852
nucleus,CC,7932,280,4.154180302503583e-51
nucleoplasm,CC,3512,183,1.0174500225248e-48
nuclear part,CC,5023,219,2.1610896847663853e-48
nuclear lumen,CC,4594,207,7.161537329535427e-47
intracellular organelle lumen,CC,5740,224,1.7341214686987448e-41
membrane-enclosed lumen,CC,5740,224,1.7341214686987448e-41
organelle lumen,CC,5740,224,1.7341214686987448e-41
intracellular membrane-bounded organelle,CC,11488,319,4.5998310631073436e-040
chromosome,CC,1075,90,2.2545487552472925e-36
intracellular non-membrane-bounded organelle,CC,4784,194,7.333903023168015e-36
non-membrane-bounded organelle,CC,4793,194,9.661470026052428e-36
intracellular organelle,CC,13294,335,4.78669597881626e-35
intracellular organelle part,CC,9811,283,2.0768046373692428e-32
intracellular part,CC,15063,349,5.823137526536393e-31
intracellular,CC,15073,349,7.175081394864845e-31
nucleus,CC,7932,254,1.1207804223349142e-41
nuclear part,CC,5023,197,9.937459825487658e-40
nuclear lumen,CC,4594,186,1.5371217983969706e-38
intracellular organelle lumen,CC,5740,206,2.6914582264465192e-36
membrane-enclosed lumen,CC,5740,206,2.6914582264465192e-36
organelle lumen,CC,5740,206,2.6914582264465192e-36
nucleoplasm,CC,3512,154,6.269106297888668e-34
intracellular non-membrane-bounded organelle,CC,4784,181,5.0588165743732635e-33
chromosome,CC,1075,83,5.71617886406688e-33
non-membrane-bounded organelle,CC,4793,181,6.531094526222036e-33
intracellular membrane-bounded organelle,CC,11488,292,3.424590703877946e-32
intracellular organelle,CC,13294,312,7.505824476710303e-31
intracellular organelle part,CC,9811,262,2.7836419659037447e-28
chromosomal part,CC,951,72,6.640901649537074e-28
intracellular part,CC,15063,326,1.9013996295267163e-27
intracellular,CC,15073,326,2.3024013114971437e-27
organelle part,CC,10112,262,8.995075492110117e-26
membrane-bounded organelle,CC,13019,300,9.555992328605517e-25
organelle,CC,14144,313,1.272617745762117e-24
nucleus,CC,7932,1935,9.465391592329633e-205
nucleoplasm,CC,3512,1119,2.6990082009707854e-183
nuclear part,CC,5023,1345,6.208111244643682e-152
nuclear lumen,CC,4594,1261,7.061281378067236e-149
intracellular membrane-bounded organelle,CC,11488,2311,5.297465988569783e-140
intracellular part,CC,15063,2721,1.8793257860288365e-129
intracellular,CC,15073,2722,2.075743499152767e-129
intracellular organelle,CC,13294,2499,2.511721201650176e-120
nucleus,CC,7932,1990,2.7674353930935643e-201
nucleoplasm,CC,3512,1149,3.2703554791471343e-183
nuclear part,CC,5023,1375,3.5246037904122214e-147
nuclear lumen,CC,4594,1289,1.3658422099156288e-144
intracellular membrane-bounded organelle,CC,11488,2375,6.132674349231812e-132
intracellular part,CC,15063,2806,8.88092311400052e-120
intracellular,CC,15073,2807,1.0699417548746037e-119
intracellular organelle,CC,13294,2577,5.136664836724665e-114
neuron part,CC,1729,176,7.186951922148797e-19
cytoplasm,CC,11625,732,2.858787479385257e-17
synapse,CC,1171,129,1.5664543737888734e-16
intermediate filament,CC,214,59,1.1545462920239027e-42
mitochondrion,CC,1573,5,4.8821812769392756e-5
mitochondrial part,CC,1036,4,2.0119258574918282e-4
mitochondrial matrix,CC,469,3,3.8951576525393596e-4
mitochondrial inner membrane,CC,473,3,3.993517337775701e-4
nucleoplasm,CC,3512,695,9.21409735324511e-39
intracellular part,CC,15063,2186,3.8056189205855126e-38
intracellular,CC,15073,2187,4.061981173485326e-38
nucleus,CC,7932,1312,6.302650198956686e-37
organelle,CC,14144,2074,1.3168808952698265e-35
intracellular organelle,CC,13294,1970,3.7605043024357818e-34
intracellular membrane-bounded organelle,CC,11488,1724,9.350037725940927e-28
membrane-bounded organelle,CC,13019,1907,3.565243243678891e-27
nuclear part,CC,5023,865,3.5700901421470534e-26
nuclear lumen,CC,4594,802,1.0245349303109775e-25
organelle part,CC,10112,1528,3.5622516991284844e-23
intracellular organelle part,CC,9811,1483,5.584958557455757e-22
intracellular part,CC,15063,1276,3.1693420820948736e-70
intracellular,CC,15073,1276,6.200872893441815e-70
nucleoplasm,CC,3512,497,1.542033927162636e-67
intracellular organelle,CC,13294,1178,2.530512591696506e-65
intracellular membrane-bounded organelle,CC,11488,1069,9.930861675835591e-63
organelle,CC,14144,1206,1.139797162986013e-56
membrane-bounded organelle,CC,13019,1140,1.3727289321247872e-54
nuclear part,CC,5023,591,1.0966873255513926e-52
nuclear lumen,CC,4594,555,2.770835937409888e-52
intracellular organelle part,CC,9811,936,1.0947537073926727e-51
nucleus,CC,7932,802,1.3039195716293117e-49
organelle part,CC,10112,945,9.750712983708623e-48
intracellular organelle lumen,CC,5740,621,5.558607605892185e-43
membrane-enclosed lumen,CC,5740,621,5.558607605892185e-43
organelle lumen,CC,5740,621,5.558607605892185e-43
catalytic complex,CC,1370,225,2.3761988099215516e-37
intermediate filament,CC,214,29,2.5064840702823304e-18
intermediate filament cytoskeleton,CC,251,29,2.0024683887313858e-16
intracellular,CC,15073,251,2.8202808683157846e-13
intracellular part,CC,15063,250,8.923252443130367e-13
nucleoplasm,CC,3512,95,2.3161426649494415e-12
cytoplasm,CC,11625,210,1.213327009318129e-11
cytoplasmic part,CC,9735,183,1.8503949393807743e-10
cytosol,CC,5085,115,4.897071991597402e-10
intracellular organelle lumen,CC,5740,123,2.5966628403963463e-9
membrane-enclosed lumen,CC,5740,123,2.5966628403963463e-9
organelle lumen,CC,5740,123,2.5966628403963463e-9
nuclear part,CC,5023,111,5.113559959729686e-9
nuclear lumen,CC,4594,103,1.2644146109214288e-8
organelle part,CC,10112,182,1.605648182897288e-8
intracellular organelle part,CC,9811,177,3.335939940820288e-8
nucleoplasm part,CC,1126,38,1.7186446379020317e-7
organelle,CC,14144,228,1.7688276290513408e-7
intracellular organelle,CC,13294,218,1.983234801653739e-7
intracellular,CC,15073,261,3.168528675089175e-14
intracellular part,CC,15063,260,1.0352710824445497e-13
nucleoplasm,CC,3512,99,5.428429226010367e-13
cytoplasm,CC,11625,218,3.621298313594022e-12
cytoplasmic part,CC,9735,190,6.483131027579231e-11
intracellular organelle lumen,CC,5740,128,8.938747572385701e-10
membrane-enclosed lumen,CC,5740,128,8.938747572385701e-10
organelle lumen,CC,5740,128,8.938747572385701e-10
nuclear part,CC,5023,116,1.290454958261848e-9
cytosol,CC,5085,117,1.3005314197632162e-9
organelle part,CC,10112,191,1.546706400659409e-9
nuclear lumen,CC,4594,108,2.6512198686003363e-9
intracellular organelle part,CC,9811,186,3.043155775532201e-9
intracellular organelle,CC,13294,228,2.460690589194269e-8
catalytic complex,CC,1370,46,2.556102491831289e-8
organelle,CC,14144,238,2.6530748945837835e-8
intracellular membrane-bounded organelle,CC,11488,204,6.427214226922369e-8
intracellular part,CC,15063,111,3.9389138986182156e-7
intracellular,CC,15073,111,4.1667383715437687e-7
nucleus,CC,7932,71,6.595625806052739e-6
nucleoplasm,CC,3512,40,1.4951103070326393e-5
aggresome,CC,43,2,6.444108979097031e-4
glucosidase II complex,CC,2,1,0.0017563970958087705
inclusion body,CC,82,2,0.0023224053765774828
MAML1-RBP-Jkappa- ICN1 complex,CC,3,1,0.0026335026728991906
mitochondrial processing peptidase complex,CC,3,1,0.0026335026728991906
nucleus,CC,7932,46,2.346684281511584e-9
nuclear pore inner ring,CC,3,3,2.3877901388658095e-8
intracellular membrane-bounded organelle,CC,11488,53,6.754586540801144e-8
receptor complex,CC,505,1,0.04869077078945727
nucleus,CC,7932,1434,8.112235219867161e-91
nucleoplasm,CC,3512,808,4.691784313334409e-89
intracellular organelle,CC,13294,2032,7.556303683488118e-83
intracellular part,CC,15063,2206,9.165843209434009e-83
intracellular,CC,15073,2206,2.5736935066674253e-82
intracellular membrane-bounded organelle,CC,11488,1806,3.1525416391389654e-71
organelle,CC,14144,2086,1.903049310735402e-69
nucleus,CC,7932,1322,1.2125171760767563e-175
nucleoplasm,CC,3512,806,5.8464052753277655e-164
nuclear part,CC,5023,954,4.692008023690637e-141
nuclear lumen,CC,4594,900,4.243832361050277e-139
intracellular membrane-bounded organelle,CC,11488,1530,5.3207127576261616e-117
intracellular,CC,15073,1768,1.0564647870205331e-105
intracellular part,CC,15063,1767,1.9053879501547427e-105
intracellular organelle lumen,CC,5740,964,3.2104943902786067e-105
membrane-enclosed lumen,CC,5740,964,3.2104943902786067e-105
organelle lumen,CC,5740,964,3.2104943902786067e-105
intracellular organelle,CC,13294,1642,1.426876591875835e-102
neuron part,CC,1729,126,2.5978465849820055e-46
synapse part,CC,938,90,1.9249719000601367e-41
neuron projection,CC,1312,102,4.484872012618822e-39
synapse,CC,1171,96,1.5873466015112234e-38
somatodendritic compartment,CC,843,73,2.0194756721279642e-30
axon,CC,606,62,8.865270593383133e-30
presynapse,CC,491,56,2.5345524513067163e-29
cell projection,CC,2178,116,3.366414905195974e-29
plasma membrane bounded cell projection,CC,2103,113,1.0908079277676917e-28
synaptic membrane,CC,432,52,2.2206764535735165e-28
postsynapse,CC,613,58,4.407889403492345e-26
nucleus,CC,7932,891,9.278309344952119e-125
nucleoplasm,CC,3512,560,4.2935211921690456e-122
nuclear part,CC,5023,663,3.6462366936256003e-109
nuclear lumen,CC,4594,625,1.5500075604283874e-106
intracellular membrane-bounded organelle,CC,11488,1034,3.8986001784713945e-90
intracellular organelle,CC,13294,1117,1.0258829921088294e-87
intracellular part,CC,15063,1188,2.752968344038025e-86
intracellular,CC,15073,1188,5.477535064183783e-86
intracellular organelle lumen,CC,5740,654,2.5566119936547344e-76
