"","Term","Ont","N","DE","P.DE"
"GO:0044424","intracellular part","CC",15063,2415,4.55605357302835e-90
"GO:0005622","intracellular","CC",15073,2416,4.68871769810876e-90
"GO:0043229","intracellular organelle","CC",13294,2192,1.67711972056186e-77
"GO:0043226","organelle","CC",14144,2284,8.16158256987335e-76
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,1970,1.72310487369535e-75
"GO:0043227","membrane-bounded organelle","CC",13019,2154,3.11038473553575e-75
"GO:0044446","intracellular organelle part","CC",9811,1752,3.05715320153544e-74
"GO:0005654","nucleoplasm","CC",3512,825,5.43131882562039e-74
"GO:0044422","organelle part","CC",10112,1782,3.66536858095354e-71
"GO:0005737","cytoplasm","CC",11625,1954,1.7901501042009e-64
"GO:0005829","cytosol","CC",5085,1045,7.96874613444675e-63
"GO:0044444","cytoplasmic part","CC",9735,1691,2.12660947042007e-58
"GO:1902494","catalytic complex","CC",1370,392,6.15545033283309e-54
"GO:0044428","nuclear part","CC",5023,987,4.00033238359806e-48
