"","Term","Ont","N","DE","P.DE"
"GO:0005654","nucleoplasm","CC",3512,709,9.63426794173347e-143
"GO:0005634","nucleus","CC",7932,1120,2.6256435481787e-129
"GO:0044428","nuclear part","CC",5023,844,7.41112686887687e-126
"GO:0031981","nuclear lumen","CC",4594,784,2.80348545009661e-117
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,1325,1.64596990439654e-92
"GO:0005694","chromosome","CC",1075,305,6.63697902250977e-91
"GO:0070013","intracellular organelle lumen","CC",5740,841,5.7434616326461e-89
"GO:0031974","membrane-enclosed lumen","CC",5740,841,5.7434616326461e-89
"GO:0043233","organelle lumen","CC",5740,841,5.7434616326461e-89
"GO:0044424","intracellular part","CC",15063,1542,5.20752477479495e-86
"GO:0005622","intracellular","CC",15073,1542,1.18526684773991e-85
