"","Term","Ont","N","DE","P.DE"
"GO:0097458","neuron part","CC",1729,351,1.26821354357722e-73
"GO:0044456","synapse part","CC",938,236,2.81804790469577e-66
"GO:0045202","synapse","CC",1171,266,5.13057936226332e-65
"GO:0043005","neuron projection","CC",1312,277,1.17930225029937e-60
"GO:0030424","axon","CC",606,175,3.69125342326411e-58
"GO:0120025","plasma membrane bounded cell projection","CC",2103,334,1.23840588185747e-43
"GO:0042995","cell projection","CC",2178,341,3.05388075548426e-43
"GO:0097060","synaptic membrane","CC",432,126,2.54604405345856e-42
"GO:0036477","somatodendritic compartment","CC",843,185,2.56321179039247e-42
"GO:0098793","presynapse","CC",491,134,1.94205280247335e-41
"GO:0033267","axon part","CC",382,115,3.75631011926704e-40
"GO:0098794","postsynapse","CC",613,149,1.70651426878984e-39
"GO:0071944","cell periphery","CC",5756,648,2.96987607071322e-35
