"","Term","Ont","N","DE","P.DE"
"GO:0044424","intracellular part","CC",15063,1412,6.32692252615816e-51
"GO:0005622","intracellular","CC",15073,1412,1.19069877037927e-50
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,1171,4.28675513669391e-49
"GO:0044391","ribosomal subunit","CC",190,90,7.05197407665277e-49
"GO:0043229","intracellular organelle","CC",13294,1294,2.12157257568327e-48
"GO:0005654","nucleoplasm","CC",3512,499,3.5046390095511e-47
"GO:0022626","cytosolic ribosome","CC",112,67,2.49302031068023e-45
"GO:0044446","intracellular organelle part","CC",9811,1031,7.82564993356331e-44
"GO:0043227","membrane-bounded organelle","CC",13019,1257,1.20896819720845e-41
"GO:0005840","ribosome","CC",272,99,3.76382739300338e-41
"GO:0043226","organelle","CC",14144,1330,7.35345641598638e-41
"GO:0044422","organelle part","CC",10112,1044,1.06170399260886e-40
