"","Term","Ont","N","DE","P.DE"
"GO:0005622","intracellular","CC",15073,1774,2.75767160223938e-72
"GO:0044424","intracellular part","CC",15063,1773,3.79693318941069e-72
"GO:0043229","intracellular organelle","CC",13294,1592,3.18208839346296e-54
"GO:0005654","nucleoplasm","CC",3512,605,1.05929357872586e-53
"GO:0043227","membrane-bounded organelle","CC",13019,1563,3.75418937916207e-52
"GO:0043226","organelle","CC",14144,1656,5.89732416880347e-52
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,1428,6.35700667990083e-52
"GO:0005737","cytoplasm","CC",11625,1439,1.75037146914772e-51
"GO:0044446","intracellular organelle part","CC",9811,1269,6.96105631525563e-51
"GO:0044444","cytoplasmic part","CC",9735,1254,1.69534135116293e-48
"GO:0044422","organelle part","CC",10112,1288,6.51478655704661e-48
"GO:1902494","catalytic complex","CC",1370,306,3.65876028254372e-47
"GO:0005829","cytosol","CC",5085,759,5.62886025122389e-44
"GO:0070013","intracellular organelle lumen","CC",5740,798,0.000000000000000000000000000000000121866638919248
"GO:0031974","membrane-enclosed lumen","CC",5740,798,0.000000000000000000000000000000000121866638919248
