"","Term","Ont","N","DE","P.DE"
"GO:0044424","intracellular part","CC",15063,1440,2.28902888686195e-65
"GO:0005622","intracellular","CC",15073,1440,4.64544374920941e-65
"GO:0043229","intracellular organelle","CC",13294,1329,2.092688347854e-63
"GO:0005654","nucleoplasm","CC",3512,532,1.43982778431392e-60
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,1198,1.6122858541166e-59
"GO:0043227","membrane-bounded organelle","CC",13019,1297,3.06366643306291e-57
"GO:0005634","nucleus","CC",7932,920,1.1375256529701e-56
"GO:0043226","organelle","CC",14144,1364,5.7483778310512e-55
