"","Term","Ont","N","DE","P.DE"
"GO:0043227","membrane-bounded organelle","CC",13019,1082,0.000000000000000173913230147505
"GO:0044424","intracellular part","CC",15063,1214,0.000000000000000378674782993481
"GO:0005622","intracellular","CC",15073,1214,0.000000000000000534300092437722
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,970,0.00000000000000509107250761486
"GO:0043226","organelle","CC",14144,1149,0.00000000000000700269163396793
"GO:0043229","intracellular organelle","CC",13294,1090,0.0000000000000237406810198586
