"","Term","Ont","N","DE","P.DE"
"GO:0070013","intracellular organelle lumen","CC",5740,403,8.77430061352592e-45
"GO:0031974","membrane-enclosed lumen","CC",5740,403,8.77430061352592e-45
"GO:0043233","organelle lumen","CC",5740,403,8.77430061352592e-45
"GO:0005654","nucleoplasm","CC",3512,292,8.43934647597766e-43
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,618,1.39232114650809e-41
"GO:0005622","intracellular","CC",15073,724,3.35986928732889e-41
"GO:0044424","intracellular part","CC",15063,723,9.94587674413731e-41
"GO:0031981","nuclear lumen","CC",4594,338,2.43290163956557e-39
"GO:0044446","intracellular organelle part","CC",9811,549,5.10123380659767e-37
"GO:0044428","nuclear part","CC",5023,352,9.59745085368606e-37
"GO:0044422","organelle part","CC",10112,556,2.24674743891765e-35
"GO:0005634","nucleus","CC",7932,471,0.000000000000000000000000000000000142762957687459
"GO:0043229","intracellular organelle","CC",13294,657,0.0000000000000000000000000000000121081171291037
"GO:0043227","membrane-bounded organelle","CC",13019,638,0.000000000000000000000000000318944916389001
"GO:0032991","protein-containing complex","CC",6151,379,0.000000000000000000000000000766151730371126
"GO:0043226","organelle","CC",14144,669,0.0000000000000000000000000238012872510349
"GO:1902494","catalytic complex","CC",1370,138,0.0000000000000000000000000276081102678385
