"","Term","Ont","N","DE","P.DE"
"GO:0097458","neuron part","CC",1729,265,0.000000000000000000000000000000120940888683474
"GO:0045202","synapse","CC",1171,193,0.00000000000000000000000000951650935272619
"GO:0071944","cell periphery","CC",5756,612,0.0000000000000000000000000771800123850179
"GO:0005886","plasma membrane","CC",5637,601,0.000000000000000000000000153662134025719
"GO:0042995","cell projection","CC",2178,287,0.0000000000000000000000266527180851776
"GO:0043005","neuron projection","CC",1312,199,0.0000000000000000000000532236806997654
"GO:0016020","membrane","CC",9495,891,0.000000000000000000000128884118987208
"GO:0005737","cytoplasm","CC",11625,1045,0.000000000000000000000209681911506909
"GO:0044425","membrane part","CC",6939,693,0.000000000000000000000268859408253817
"GO:0044459","plasma membrane part","CC",2985,358,0.000000000000000000000618928218026629
"GO:0120025","plasma membrane bounded cell projection","CC",2103,275,0.00000000000000000000088016339174783
"GO:0044456","synapse part","CC",938,155,0.00000000000000000000124893057804463
