"","Term","Ont","N","DE","P.DE"
"GO:0005737","cytoplasm","CC",11625,307,0.0000000000119163057807586
"GO:0005622","intracellular","CC",15073,366,0.000000000104158752815688
"GO:0044446","intracellular organelle part","CC",9811,268,0.000000000105024890353896
"GO:0044424","intracellular part","CC",15063,365,0.000000000208173840261059
"GO:0044422","organelle part","CC",10112,273,0.000000000213089067130581
"GO:0043229","intracellular organelle","CC",13294,327,0.0000000242375233011962
"GO:0044444","cytoplasmic part","CC",9735,257,0.0000000306197553549442
"GO:0043226","organelle","CC",14144,340,0.000000122081296238941
"GO:0043227","membrane-bounded organelle","CC",13019,319,0.000000135090605626944
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,287,0.000000512744584576575
