"","Term","Ont","N","DE","P.DE"
"GO:0012505","endomembrane system","CC",4441,356,0.000000000000000000000000000303248168380789
"GO:0044444","cytoplasmic part","CC",9735,624,0.00000000000000000000000000129897313396696
"GO:0005737","cytoplasm","CC",11625,704,0.0000000000000000000000000459661810401196
"GO:0031982","vesicle","CC",3884,303,0.0000000000000000000027669811837856
"GO:0044432","endoplasmic reticulum part","CC",1361,141,0.000000000000000000312329578746214
"GO:0031984","organelle subcompartment","CC",1711,162,0.0000000000000000031695423791941
"GO:0031410","cytoplasmic vesicle","CC",2314,200,0.00000000000000000423372168646659
"GO:0097708","intracellular vesicle","CC",2317,200,0.00000000000000000488337250878522
"GO:0005783","endoplasmic reticulum","CC",1911,174,0.00000000000000000706956629713737
"GO:0016020","membrane","CC",9495,576,0.0000000000000000278649112040873
"GO:0097458","neuron part","CC",1729,157,0.000000000000000525144780097839
"GO:0098588","bounding membrane of organelle","CC",2081,176,0.00000000000000572298467485646
