"","Term","Ont","N","DE","P.DE"
"GO:0097458","neuron part","CC",1729,139,0.00000000000000000142479924139326
"GO:0045202","synapse","CC",1171,107,0.00000000000000000360839212698098
"GO:0044424","intracellular part","CC",15063,655,0.0000000000000000467306969041308
"GO:0005622","intracellular","CC",15073,655,0.000000000000000059714450468754
"GO:0044456","synapse part","CC",938,90,0.000000000000000115493075152458
"GO:0005737","cytoplasm","CC",11625,541,0.000000000000000154627788042318
"GO:0005829","cytosol","CC",5085,288,0.000000000000000517216417666504
"GO:0098794","postsynapse","CC",613,68,0.000000000000000713840635140575
"GO:0030424","axon","CC",606,67,0.00000000000000139499089286074
"GO:0043005","neuron projection","CC",1312,109,0.00000000000000148724629965254
