"","Term","Ont","N","DE","P.DE"
"GO:0005654","nucleoplasm","CC",3512,1135,2.12724998247415e-190
"GO:0005634","nucleus","CC",7932,1911,1.88958969894737e-188
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,2334,2.94393243055571e-146
"GO:0031981","nuclear lumen","CC",4594,1258,2.56468983132975e-145
"GO:0044428","nuclear part","CC",5023,1331,4.39216689517246e-143
"GO:0044424","intracellular part","CC",15063,2756,6.24162871502231e-143
"GO:0005622","intracellular","CC",15073,2757,6.75122903924083e-143
"GO:0043229","intracellular organelle","CC",13294,2536,6.38398764890401e-133
"GO:0043227","membrane-bounded organelle","CC",13019,2468,9.1155219320801e-117
"GO:0043226","organelle","CC",14144,2605,1.05656012356002e-116
"GO:0070013","intracellular organelle lumen","CC",5740,1394,5.03188912582325e-116
"GO:0031974","membrane-enclosed lumen","CC",5740,1394,5.03188912582325e-116
"GO:0043233","organelle lumen","CC",5740,1394,5.03188912582325e-116
