"","Term","Ont","N","DE","P.DE"
"GO:0005737","cytoplasm","CC",11625,141,0.00000000659736211800642
"GO:0005783","endoplasmic reticulum","CC",1911,43,0.0000000101109309714836
"GO:0044432","endoplasmic reticulum part","CC",1361,35,0.000000012171947712053
"GO:0005604","basement membrane","CC",95,10,0.0000000132425575675012
"GO:0005788","endoplasmic reticulum lumen","CC",309,15,0.000000127501621767287
"GO:0044424","intracellular part","CC",15063,163,0.000000161137598191252
"GO:0005622","intracellular","CC",15073,163,0.000000173337425468017
"GO:0043226","organelle","CC",14144,156,0.000000302341838895735
"GO:0062023","collagen-containing extracellular matrix","CC",406,16,0.000000796006821812941
"GO:0031012","extracellular matrix","CC",526,18,0.00000122517647850456
"GO:0043229","intracellular organelle","CC",13294,148,0.00000141396488243496
