"","Term","Ont","N","DE","P.DE"
"GO:0005654","nucleoplasm","CC",3512,716,1.91103905263936e-104
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,1516,3.66475255143219e-91
"GO:0005622","intracellular","CC",15073,1791,3.51394788209039e-90
"GO:0044424","intracellular part","CC",15063,1790,5.44085899323151e-90
"GO:0043229","intracellular organelle","CC",13294,1655,4.55791728407177e-87
"GO:0005634","nucleus","CC",7932,1171,3.87226649626965e-85
"GO:0044428","nuclear part","CC",5023,844,4.21738611322895e-79
"GO:0043226","organelle","CC",14144,1700,3.38851344834138e-77
"GO:0043227","membrane-bounded organelle","CC",13019,1612,3.88868336648616e-77
"GO:0031981","nuclear lumen","CC",4594,788,1.56782092142786e-76
"GO:0044446","intracellular organelle part","CC",9811,1305,1.25660596354411e-66
"GO:0070013","intracellular organelle lumen","CC",5740,890,9.46237873006681e-66
"GO:0031974","membrane-enclosed lumen","CC",5740,890,9.46237873006681e-66
"GO:0043233","organelle lumen","CC",5740,890,9.46237873006681e-66
