"","Term","Ont","N","DE","P.DE"
"GO:0097458","neuron part","CC",1729,120,0.000000000000000000000000000103817920266119
"GO:0045202","synapse","CC",1171,94,0.00000000000000000000000000836447662117934
"GO:0044456","synapse part","CC",938,83,0.0000000000000000000000000194358417406305
"GO:0043005","neuron projection","CC",1312,99,0.000000000000000000000000035065970848514
"GO:0120025","plasma membrane bounded cell projection","CC",2103,118,0.000000000000000000027029991594242
"GO:0042995","cell projection","CC",2178,120,0.0000000000000000000514039434698642
"GO:0098916","anterograde trans-synaptic signaling","BP",703,62,0.000000000000000000102338014127917
"GO:0007268","chemical synaptic transmission","BP",703,62,0.000000000000000000102338014127917
"GO:0099537","trans-synaptic signaling","BP",711,62,0.000000000000000000180680136435511
"GO:0099536","synaptic signaling","BP",717,62,0.000000000000000000275167953008731
"GO:0044463","cell projection part","CC",1467,93,0.000000000000000000282194917676332
"GO:0120038","plasma membrane bounded cell projection part","CC",1467,93,0.000000000000000000282194917676332
"GO:0098794","postsynapse","CC",613,57,0.000000000000000000300455731607773
"GO:0030424","axon","CC",606,56,0.000000000000000000846514990742243
"GO:0097060","synaptic membrane","CC",432,46,0.000000000000000005636805928225
"GO:0036477","somatodendritic compartment","CC",843,62,0.000000000000000701094764732058
"GO:0099003","vesicle-mediated transport in synapse","BP",207,30,0.00000000000000103786941164781
"GO:0030425","dendrite","CC",620,50,0.0000000000000167239267765226
"GO:0097447","dendritic tree","CC",622,50,0.0000000000000189628616082535
"GO:0030054","cell junction","CC",1298,76,0.0000000000000617084750261545
