"","Term","Ont","N","DE","P.DE"
"GO:0007399","nervous system development","BP",2375,221,0.00000000000000000000753050158586414
"GO:0016043","cellular component organization","BP",6512,453,0.0000000000000000116337101923264
"GO:0005515","protein binding","MF",11807,716,0.000000000000000127838374568904
"GO:0071840","cellular component organization or biogenesis","BP",6697,458,0.000000000000000182093470739713
"GO:0005488","binding","MF",15267,869,0.000000000000000458300769188735
"GO:0030182","neuron differentiation","BP",1365,138,0.000000000000000903178130082337
"GO:0005737","cytoplasm","CC",11625,703,0.00000000000000141877884269544
"GO:0044424","intracellular part","CC",15063,858,0.00000000000000211933048705628
"GO:0005622","intracellular","CC",15073,858,0.0000000000000027880639213472
"GO:0048699","generation of neurons","BP",1524,147,0.00000000000000483781858595175
"GO:1902494","catalytic complex","CC",1370,136,0.00000000000000643303614188097
"GO:0007275","multicellular organism development","BP",5491,384,0.0000000000000148312282432528
"GO:0048666","neuron development","BP",1110,116,0.0000000000000242061490922757
"GO:0031175","neuron projection development","BP",978,106,0.00000000000003370878964349
"GO:0022008","neurogenesis","BP",1623,151,0.0000000000000397787333907649
"GO:0007267","cell-cell signaling","BP",1650,152,0.0000000000000729559910278724
"GO:0048856","anatomical structure development","BP",5988,407,0.000000000000131859492079095
"GO:0045202","synapse","CC",1171,118,0.000000000000180096834914952
"GO:0048812","neuron projection morphogenesis","BP",648,79,0.000000000000193152663465831
"GO:0032502","developmental process","BP",6411,429,0.000000000000203913179823688
