"","Term","Ont","N","DE","P.DE"
"GO:0044444","cytoplasmic part","CC",9735,507,0.00000000000000000000276545595368148
"GO:0005737","cytoplasm","CC",11625,575,0.00000000000000000000958149412546682
"GO:0005829","cytosol","CC",5085,289,0.0000000000000902828633937329
"GO:0044424","intracellular part","CC",15063,664,0.00000000000354410778670078
"GO:0005622","intracellular","CC",15073,664,0.00000000000437544320490197
"GO:0051020","GTPase binding","MF",541,57,0.00000000000756073159333314
"GO:0043226","organelle","CC",14144,628,0.0000000000646069949684334
"GO:0044422","organelle part","CC",10112,477,0.00000000040518806719699
"GO:0071840","cellular component organization or biogenesis","BP",6697,341,0.000000000464423049784303
"GO:0016043","cellular component organization","BP",6512,333,0.000000000547063439163463
"GO:0005515","protein binding","MF",11807,539,0.000000000929131840725148
"GO:0031267","small GTPase binding","MF",443,46,0.00000000134438399450162
"GO:0017016","Ras GTPase binding","MF",429,45,0.00000000147896857302706
"GO:0019899","enzyme binding","MF",2217,141,0.00000000158110984292037
"GO:0044446","intracellular organelle part","CC",9811,462,0.00000000189700249372398
"GO:0008104","protein localization","BP",2765,163,0.0000000152003349779422
"GO:0005085","guanyl-nucleotide exchange factor activity","MF",214,28,0.0000000183871282854062
"GO:0051641","cellular localization","BP",2927,170,0.0000000195393326126075
"GO:0006996","organelle organization","BP",3885,213,0.00000002063151572491
"GO:0043229","intracellular organelle","CC",13294,585,0.000000039804362024666
