"","Term","Ont","N","DE","P.DE"
"GO:0044424","intracellular part","CC",15063,2271,1.1802437782968e-129
"GO:0005622","intracellular","CC",15073,2271,4.12238757581026e-129
"GO:0043229","intracellular organelle","CC",13294,2110,4.00092161546373e-128
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,1898,2.97327521606486e-114
"GO:0005654","nucleoplasm","CC",3512,857,6.04048951955214e-114
"GO:0043226","organelle","CC",14144,2156,1.22717539962244e-109
"GO:0044446","intracellular organelle part","CC",9811,1695,7.85701902043987e-108
"GO:0043227","membrane-bounded organelle","CC",13019,2029,6.34743783330901e-101
"GO:0044422","organelle part","CC",10112,1710,1.63301065610769e-99
"GO:0044428","nuclear part","CC",5023,1025,1.08293648017638e-87
"GO:0005634","nucleus","CC",7932,1415,1.55402365609876e-87
"GO:0031981","nuclear lumen","CC",4594,958,1.06457054905186e-85
"GO:0044260","cellular macromolecule metabolic process","BP",8352,1461,4.62574772576181e-85
"GO:0003676","nucleic acid binding","MF",4349,902,8.21450891505439e-78
"GO:0070013","intracellular organelle lumen","CC",5740,1097,5.99205936750448e-77
"GO:0031974","membrane-enclosed lumen","CC",5740,1097,5.99205936750448e-77
"GO:0043233","organelle lumen","CC",5740,1097,5.99205936750448e-77
"GO:0006996","organelle organization","BP",3885,823,7.01402371681383e-74
"GO:0034641","cellular nitrogen compound metabolic process","BP",7161,1265,1.7106545338785e-69
"GO:0044237","cellular metabolic process","BP",11301,1766,1.83982527219387e-69
