"","Term","Ont","N","DE","P.DE"
"GO:0005654","nucleoplasm","CC",3512,695,9.21409735324511e-39
"GO:0044424","intracellular part","CC",15063,2186,3.80561892058551e-38
"GO:0005622","intracellular","CC",15073,2187,4.06198117348533e-38
"GO:0005634","nucleus","CC",7932,1312,6.30265019895669e-37
"GO:0005488","binding","MF",15267,2201,5.17393002302182e-36
"GO:0043226","organelle","CC",14144,2074,1.31688089526983e-35
"GO:0043229","intracellular organelle","CC",13294,1970,0.000000000000000000000000000000000376050430243578
"GO:0005515","protein binding","MF",11807,1787,0.00000000000000000000000000000000643880319998092
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,1724,0.000000000000000000000000000935003772594093
"GO:0043227","membrane-bounded organelle","CC",13019,1907,0.00000000000000000000000000356524324367889
"GO:1901363","heterocyclic compound binding","MF",6241,1035,0.0000000000000000000000000251520480065747
"GO:0044428","nuclear part","CC",5023,865,0.0000000000000000000000000357009014214705
"GO:0097159","organic cyclic compound binding","MF",6328,1044,0.0000000000000000000000000964420569096747
"GO:0031981","nuclear lumen","CC",4594,802,0.000000000000000000000000102453493031098
"GO:0006996","organelle organization","BP",3885,697,0.000000000000000000000000428086260157634
"GO:0003674","molecular_function","MF",17697,2417,0.00000000000000000000000604090992010912
"GO:0044422","organelle part","CC",10112,1528,0.0000000000000000000000356225169912848
"GO:0051276","chromosome organization","BP",1230,278,0.0000000000000000000000645470643489524
"GO:0003677","DNA binding","MF",2518,481,0.000000000000000000000346326530618252
"GO:0044446","intracellular organelle part","CC",9811,1483,0.000000000000000000000558495855745576
