"","Term","Ont","N","DE","P.DE"
"GO:0044441","ciliary part","CC",462,33,0.0000000000000000000886771886482139
"GO:0044782","cilium organization","BP",384,28,0.0000000000000000407280666708938
"GO:0005929","cilium","CC",611,34,0.000000000000000051783761229634
"GO:0060271","cilium assembly","BP",366,27,0.000000000000000116115502511278
"GO:0005930","axoneme","CC",123,17,0.00000000000000221350258859747
"GO:0097014","ciliary plasm","CC",124,17,0.00000000000000254430809004513
"GO:0032838","plasma membrane bounded cell projection cytoplasm","CC",208,18,0.00000000000125492891685042
"GO:0061512","protein localization to cilium","BP",54,11,0.00000000000261828977741014
"GO:0120031","plasma membrane bounded cell projection assembly","BP",555,27,0.00000000000275299971775029
"GO:0030031","cell projection assembly","BP",567,27,0.00000000000451776623353106
"GO:0005856","cytoskeleton","CC",2197,54,0.0000000000205280092195108
"GO:0044430","cytoskeletal part","CC",1688,46,0.000000000032633694969028
"GO:0044463","cell projection part","CC",1467,42,0.0000000000626186110102097
"GO:0120038","plasma membrane bounded cell projection part","CC",1467,42,0.0000000000626186110102097
"GO:0015630","microtubule cytoskeleton","CC",1192,37,0.000000000114151384947911
"GO:0070925","organelle assembly","BP",845,30,0.000000000372358735249581
"GO:0035869","ciliary transition zone","CC",66,10,0.000000000581515081726006
"GO:0030990","intraciliary transport particle","CC",27,7,0.00000000446932219439548
"GO:0007224","smoothened signaling pathway","BP",133,12,0.00000000492063745615367
"GO:0007017","microtubule-based process","BP",748,26,0.00000000968799994164433
