"","Term","Ont","N","DE","P.DE"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","BP",427,201,1.99435007453839e-224
"GO:0004984","olfactory receptor activity","MF",427,201,1.99435007453839e-224
"GO:0007608","sensory perception of smell","BP",454,202,3.31430011132459e-219
"GO:0050907","detection of chemical stimulus involved in sensory perception","BP",477,205,7.53005052581215e-219
"GO:0009593","detection of chemical stimulus","BP",512,205,6.34151246736717e-211
"GO:0007606","sensory perception of chemical stimulus","BP",526,206,1.27406597983195e-209
"GO:0050906","detection of stimulus involved in sensory perception","BP",531,206,1.40225342789818e-208
"GO:0051606","detection of stimulus","BP",691,206,9.90975718484982e-181
"GO:0004930","G protein-coupled receptor activity","MF",866,209,2.31767689368708e-162
"GO:0007600","sensory perception","BP",977,209,1.29724930522207e-150
"GO:0004888","transmembrane signaling receptor activity","MF",1277,211,8.33873916099979e-128
"GO:0007186","G protein-coupled receptor signaling pathway","BP",1371,210,3.51546189394234e-120
"GO:0050877","nervous system process","BP",1437,211,5.06466165522996e-117
"GO:0038023","signaling receptor activity","MF",1484,211,3.99767911994093e-114
"GO:0060089","molecular transducer activity","MF",1538,211,6.27881979772322e-111
"GO:0003008","system process","BP",2216,213,2.51107170190805e-81
"GO:0005549","odorant binding","MF",102,63,2.49627185189694e-77
"GO:0032501","multicellular organismal process","BP",7751,342,1.11575255477008e-51
"GO:0031424","keratinization","BP",224,58,5.67868202206008e-44
"GO:0005882","intermediate filament","CC",214,53,4.02625480700979e-39
