"","Term","Ont","N","DE","P.DE"
"GO:0005737","cytoplasm","CC",11625,316,0.0000000000714561462838961
"GO:0044424","intracellular part","CC",15063,375,0.00000000600639216381219
"GO:0005622","intracellular","CC",15073,375,0.00000000683978813405757
"GO:0003674","molecular_function","MF",17697,418,0.000000013412111745731
"GO:0044444","cytoplasmic part","CC",9735,265,0.0000000756001745041968
"GO:0005515","protein binding","MF",11807,306,0.000000255824649031711
"GO:0006464","cellular protein modification process","BP",4160,134,0.000000303853216371573
"GO:0036211","protein modification process","BP",4160,134,0.000000303853216371573
"GO:0006810","transport","BP",5190,159,0.000000344210860783469
"GO:0051234","establishment of localization","BP",5315,162,0.00000034475766306677
"GO:0043412","macromolecule modification","BP",4373,137,0.00000106089767725559
"GO:0005829","cytosol","CC",5085,153,0.00000207079279516838
"GO:0048471","perinuclear region of cytoplasm","CC",711,36,0.00000213953632071637
"GO:0098772","molecular function regulator","MF",1810,69,0.00000227115602046705
"GO:0051020","GTPase binding","MF",541,30,0.00000259968475398471
"GO:0051179","localization","BP",6735,191,0.00000288080056724443
"GO:0005488","binding","MF",15267,369,0.00000329400742216816
"GO:0051641","cellular localization","BP",2927,98,0.0000042527296365833
"GO:0005085","guanyl-nucleotide exchange factor activity","MF",214,17,0.00000433367709036155
"GO:0030424","axon","CC",606,31,0.00000905673778434914
