"","Term","Ont","N","DE","P.DE"
"GO:0044444","cytoplasmic part","CC",9735,155,0.00000000122730466785989
"GO:0005737","cytoplasm","CC",11625,172,0.0000000144007219004352
"GO:0005829","cytosol","CC",5085,96,0.0000000150445250068342
"GO:0120025","plasma membrane bounded cell projection","CC",2103,48,0.0000015177367598208
"GO:0042995","cell projection","CC",2178,48,0.00000403338381574407
"GO:0032446","protein modification by small protein conjugation","BP",906,26,0.0000124382790480692
"GO:0008104","protein localization","BP",2765,55,0.0000146160865794625
"GO:0016567","protein ubiquitination","BP",822,24,0.0000207645348094503
"GO:0044441","ciliary part","CC",462,17,0.0000210671882136291
"GO:0046471","phosphatidylglycerol metabolic process","BP",31,5,0.0000233381972560786
"GO:0033036","macromolecule localization","BP",3116,59,0.0000287390690008936
"GO:0005515","protein binding","MF",11807,163,0.0000308469096781152
"GO:0004842","ubiquitin-protein transferase activity","MF",382,15,0.0000310022198676679
"GO:0032049","cardiolipin biosynthetic process","BP",7,3,0.0000478914110183925
"GO:0044463","cell projection part","CC",1467,34,0.0000484538558058511
"GO:0120038","plasma membrane bounded cell projection part","CC",1467,34,0.0000484538558058511
"GO:0019787","ubiquitin-like protein transferase activity","MF",407,15,0.0000636976804133467
"GO:0005929","cilium","CC",611,19,0.0000685772264145713
"GO:0051179","localization","BP",6735,104,0.0000733964163444985
"GO:0006655","phosphatidylglycerol biosynthetic process","BP",8,3,0.0000759879550925872
