"","Term","Ont","N","DE","P.DE"
"GO:0044424","intracellular part","CC",15063,2600,1.28071346213061e-111
"GO:0005622","intracellular","CC",15073,2601,1.38054801391991e-111
"GO:0044446","intracellular organelle part","CC",9811,1927,6.19103600257373e-102
"GO:0044422","organelle part","CC",10112,1956,3.5967795972217e-97
"GO:0044444","cytoplasmic part","CC",9735,1902,1.59252496655476e-96
"GO:0043229","intracellular organelle","CC",13294,2363,3.83485973114785e-95
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,2127,5.65726260481197e-92
"GO:0005737","cytoplasm","CC",11625,2141,1.68126875177611e-90
"GO:0043226","organelle","CC",14144,2443,3.16831231601901e-86
"GO:0043227","membrane-bounded organelle","CC",13019,2299,4.23411555276613e-83
"GO:0044391","ribosomal subunit","CC",190,137,1.06621003175351e-73
"GO:0005829","cytosol","CC",5085,1107,8.80814100789576e-66
"GO:0005515","protein binding","MF",11807,2086,1.66226505110598e-63
"GO:0005840","ribosome","CC",272,152,8.15158786755758e-59
"GO:0005654","nucleoplasm","CC",3512,813,3.86089333742892e-56
"GO:0070013","intracellular organelle lumen","CC",5740,1175,1.69475320260449e-54
"GO:0031974","membrane-enclosed lumen","CC",5740,1175,1.69475320260449e-54
"GO:0043233","organelle lumen","CC",5740,1175,1.69475320260449e-54
"GO:0003735","structural constituent of ribosome","MF",202,122,1.81706691353968e-52
"GO:0032991","protein-containing complex","CC",6151,1224,3.28920529188905e-50
