"","Term","Ont","N","DE","P.DE"
"GO:0009952","anterior/posterior pattern specification","BP",219,14,0.00000000229667943377486
"GO:0007389","pattern specification process","BP",446,18,0.0000000166976893759715
"GO:0044249","cellular biosynthetic process","BP",6168,82,0.0000000342280573020336
"GO:0044271","cellular nitrogen compound biosynthetic process","BP",5029,71,0.0000000570111206590175
"GO:0009058","biosynthetic process","BP",6339,82,0.000000128208173267308
"GO:0003002","regionalization","BP",351,15,0.000000133407192643468
"GO:1901576","organic substance biosynthetic process","BP",6259,81,0.00000016453637754745
"GO:0048736","appendage development","BP",179,11,0.000000189694620865997
"GO:0060173","limb development","BP",179,11,0.000000189694620865997
"GO:0044260","cellular macromolecule metabolic process","BP",8352,97,0.000000662243594554133
"GO:0009891","positive regulation of biosynthetic process","BP",2025,37,0.000000948318377927342
"GO:0048598","embryonic morphogenesis","BP",586,18,0.000000958920912511585
"GO:0043565","sequence-specific DNA binding","MF",1139,26,0.00000101315458321691
"GO:0009059","macromolecule biosynthetic process","BP",5114,68,0.0000014513211722867
"GO:0009790","embryo development","BP",1017,24,0.00000156451322216716
"GO:0031328","positive regulation of cellular biosynthetic process","BP",1992,36,0.0000017872387451813
"GO:0031326","regulation of cellular biosynthetic process","BP",4325,60,0.00000229329402213231
"GO:0034645","cellular macromolecule biosynthetic process","BP",4961,66,0.00000231015670823436
"GO:0043229","intracellular organelle","CC",13294,132,0.0000023889090664816
"GO:0031323","regulation of cellular metabolic process","BP",6305,78,0.00000255139132928187
