"","Term","Ont","N","DE","P.DE"
"GO:0035082","axoneme assembly","BP",62,10,0.0000000000000368517610970797
"GO:0060271","cilium assembly","BP",366,17,0.00000000000003876054025481
"GO:0044782","cilium organization","BP",384,17,0.0000000000000847119814741941
"GO:0070286","axonemal dynein complex assembly","BP",32,8,0.00000000000033139488543867
"GO:0001578","microtubule bundle formation","BP",91,10,0.00000000000201506339601152
"GO:0003341","cilium movement","BP",68,9,0.00000000000483275026130841
"GO:0036159","inner dynein arm assembly","BP",15,6,0.0000000000131851688538468
"GO:0005929","cilium","CC",611,18,0.0000000000137586987714315
"GO:0044441","ciliary part","CC",462,16,0.0000000000202400118491803
"GO:0120031","plasma membrane bounded cell projection assembly","BP",555,17,0.0000000000301684071932003
"GO:0030031","cell projection assembly","BP",567,17,0.0000000000421260486874273
"GO:0005930","axoneme","CC",123,10,0.0000000000426304444137851
"GO:0097014","ciliary plasm","CC",124,10,0.0000000000462276237056779
"GO:0044447","axoneme part","CC",40,7,0.000000000162543842793953
"GO:0032838","plasma membrane bounded cell projection cytoplasm","CC",208,11,0.000000000447863936283658
"GO:0007018","microtubule-based movement","BP",283,12,0.000000000859417902962668
"GO:0007017","microtubule-based process","BP",748,17,0.00000000291801502206645
"GO:0070925","organelle assembly","BP",845,17,0.0000000177977004714301
"GO:0044430","cytoskeletal part","CC",1688,22,0.000000244785049937631
"GO:0031514","motile cilium","CC",179,8,0.000000446364920841003
