"","Term","Ont","N","DE","P.DE"
"GO:0005515","protein binding","MF",11807,72,0.0000127276007016625
"GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","BP",81,5,0.0000303790118582827
"GO:2000060","positive regulation of ubiquitin-dependent protein catabolic process","BP",95,5,0.0000654257564505325
"GO:1901800","positive regulation of proteasomal protein catabolic process","BP",104,5,0.000100637180866908
"GO:0005737","cytoplasm","CC",11625,69,0.00011642145498813
"GO:0043227","membrane-bounded organelle","CC",13019,74,0.000170976390663384
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,68,0.000173047645876664
"GO:1903052","positive regulation of proteolysis involved in cellular protein catabolic process","BP",120,5,0.000197255871588218
"GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process","BP",122,5,0.000213063650606242
"GO:0044424","intracellular part","CC",15063,81,0.000236698763071538
"GO:0005622","intracellular","CC",15073,81,0.000245509579373873
"GO:1903364","positive regulation of cellular protein catabolic process","BP",140,5,0.00040258462056739
"GO:2000058","regulation of ubiquitin-dependent protein catabolic process","BP",149,5,0.0005351628863649
"GO:0005634","nucleus","CC",7932,51,0.000586557588627836
"GO:0006768","biotin metabolic process","BP",9,2,0.000688334387588178
"GO:0043229","intracellular organelle","CC",13294,73,0.00103243596740879
"GO:0043226","organelle","CC",14144,76,0.00124057173774692
"GO:0061136","regulation of proteasomal protein catabolic process","BP",183,5,0.00134623393542641
"GO:0016281","eukaryotic translation initiation factor 4F complex","CC",13,2,0.00147423579521074
"GO:0043248","proteasome assembly","BP",13,2,0.00147423579521074
