"","Term","Ont","N","DE","P.DE"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","BP",427,51,6.2553185519903e-54
"GO:0004984","olfactory receptor activity","MF",427,51,6.2553185519903e-54
"GO:0007608","sensory perception of smell","BP",454,51,1.57849463987387e-52
"GO:0050907","detection of chemical stimulus involved in sensory perception","BP",477,51,2.10131812946691e-51
"GO:0009593","detection of chemical stimulus","BP",512,51,8.40534400652375e-50
"GO:0007606","sensory perception of chemical stimulus","BP",526,51,3.40599024694772e-49
"GO:0050906","detection of stimulus involved in sensory perception","BP",531,51,5.55926378292886e-49
"GO:0051606","detection of stimulus","BP",691,51,3.96117363240212e-43
"GO:0004930","G protein-coupled receptor activity","MF",866,52,1.7709251928276e-39
"GO:0007600","sensory perception","BP",977,52,7.69068376424936e-37
"GO:0004888","transmembrane signaling receptor activity","MF",1277,52,0.000000000000000000000000000000424319519898481
"GO:0007186","G protein-coupled receptor signaling pathway","BP",1371,52,0.0000000000000000000000000000132290255824733
"GO:0050877","nervous system process","BP",1437,52,0.000000000000000000000000000126782430328447
"GO:0038023","signaling receptor activity","MF",1484,52,0.00000000000000000000000000059077244017453
"GO:0060089","molecular transducer activity","MF",1538,52,0.0000000000000000000000000032376727071798
"GO:0005549","odorant binding","MF",102,21,0.00000000000000000000000000464173053170211
"GO:0003008","system process","BP",2216,53,0.0000000000000000000100712063837374
"GO:0032501","multicellular organismal process","BP",7751,83,0.00000000000305141022801338
"GO:0031424","keratinization","BP",224,14,0.00000000005586953460959
"GO:0042221","response to chemical","BP",4797,58,0.00000000206830708622297
