"","Term","Ont","N","DE","P.DE"
"GO:0005622","intracellular","CC",15073,2149,3.05310030293238e-115
"GO:0044424","intracellular part","CC",15063,2148,4.06694669426327e-115
"GO:0043229","intracellular organelle","CC",13294,1987,9.3678402881336e-111
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,1805,5.25423432250274e-108
"GO:0005654","nucleoplasm","CC",3512,807,1.0651534723378e-103
"GO:0044446","intracellular organelle part","CC",9811,1613,2.31854253476409e-102
"GO:0043226","organelle","CC",14144,2037,9.05481568539723e-97
"GO:0044422","organelle part","CC",10112,1629,3.36968456470161e-95
"GO:0043227","membrane-bounded organelle","CC",13019,1924,7.14168423448131e-93
"GO:0044391","ribosomal subunit","CC",190,130,5.04564546624846e-77
"GO:0044428","nuclear part","CC",5023,955,2.86794470836074e-75
"GO:0032991","protein-containing complex","CC",6151,1103,4.90614608020601e-75
"GO:0031981","nuclear lumen","CC",4594,890,7.70372304668055e-73
"GO:0006996","organelle organization","BP",3885,789,3.11615438686332e-72
"GO:0005634","nucleus","CC",7932,1313,4.16881738890427e-71
"GO:0070013","intracellular organelle lumen","CC",5740,1038,7.59906578931322e-71
"GO:0031974","membrane-enclosed lumen","CC",5740,1038,7.59906578931322e-71
"GO:0043233","organelle lumen","CC",5740,1038,7.59906578931322e-71
"GO:0005737","cytoplasm","CC",11625,1724,3.2688220512431e-69
"GO:1902494","catalytic complex","CC",1370,385,9.42564698394025e-69
