"","Term","Ont","N","DE","P.DE"
"GO:0007399","nervous system development","BP",2375,252,0.00000000000000000000000000000214728390790594
"GO:0022008","neurogenesis","BP",1623,188,0.00000000000000000000000000918244062020169
"GO:0030030","cell projection organization","BP",1534,180,0.0000000000000000000000000302575521652502
"GO:0048699","generation of neurons","BP",1524,178,0.000000000000000000000000104443560454848
"GO:0030182","neuron differentiation","BP",1365,164,0.000000000000000000000000572690295659548
"GO:0120036","plasma membrane bounded cell projection organization","BP",1497,174,0.000000000000000000000000716455290597323
"GO:0048666","neuron development","BP",1110,137,0.000000000000000000000658719649396776
"GO:0031175","neuron projection development","BP",978,123,0.0000000000000000000222048207344317
"GO:0048468","cell development","BP",2183,208,0.000000000000000000530888802818456
"GO:0097458","neuron part","CC",1729,176,0.00000000000000000071869519221488
"GO:0007155","cell adhesion","BP",1420,151,0.00000000000000000701016057383921
"GO:0032989","cellular component morphogenesis","BP",1143,130,0.00000000000000000879705226649434
"GO:0022610","biological adhesion","BP",1427,151,0.0000000000000000109553976847929
"GO:0000902","cell morphogenesis","BP",1034,121,0.0000000000000000152642968076144
"GO:0005737","cytoplasm","CC",11625,732,0.0000000000000000285878747938526
"GO:0032990","cell part morphogenesis","BP",685,92,0.0000000000000000305752382246087
"GO:0048858","cell projection morphogenesis","BP",666,90,0.0000000000000000467819100718489
"GO:0045202","synapse","CC",1171,129,0.000000000000000156645437378887
"GO:0048731","system development","BP",4918,370,0.000000000000000186396625250589
"GO:0120039","plasma membrane bounded cell projection morphogenesis","BP",662,88,0.000000000000000295407783527018
