searchTUCR,ngenes,meancor,mediancor,mincor,maxcor
uc.1,7,-0.172753703684656,-0.303950368397053,-0.455386756905945,0.309914320685435
uc.10,26,0.211775321182046,0.314384284925721,-0.321794225646195,0.523020615835073
uc.100,1412,-0.105697233175676,-0.314927880576955,-0.54187246502028,0.49328005375957
uc.101,3135,0.280046979145698,0.36343389252886,-0.567055463556292,0.916737466100271
uc.102,4080,0.0641044571643427,0.314901480788154,-0.626918184654523,0.912626298989608
uc.103,3738,0.0847264014825281,0.319281445748434,-0.666973864209086,0.913610291117671
uc.104,2577,0.120856953516898,0.328408572731418,-0.588614491084071,0.913610291117671
uc.105,361,0.0174377818273853,0.301631986944104,-0.424355005159959,0.54093887248902
uc.106,973,0.240328253735738,0.332462140302878,-0.434482924136607,0.61639906880745
uc.107,1798,0.393225513595224,0.385180118559052,-0.332867737058104,0.569477044183647
uc.108,3067,0.405694211505323,0.410087119303046,-0.435234118127055,0.700959992320062
uc.109,267,0.0781127503788959,0.307574339405285,-0.40577435380517,0.561842705258358
uc.110,272,-0.0404545528341656,-0.303826769385845,-0.623198214414285,0.622879016967864
uc.111,249,0.20366852004943,0.314769481844145,-0.378930568555452,0.402039983680131
uc.112,3623,0.484447082413956,0.453925168598651,-0.483161734706122,0.849578803369573
uc.113,3543,0.460977962980699,0.441500467996256,-0.472873017015864,0.798183214534284
uc.114,3255,0.431257956019301,0.416046271629827,-0.414131086951304,0.734701322389421
uc.115,4350,0.511325896151452,0.470875032999736,-0.507425540595675,0.975068999448005
uc.116,4194,0.51672536204832,0.477147382820937,-0.510814313485492,0.974185806513548
uc.117,3644,0.493030589454516,0.468131854945161,-0.486792905656755,0.959965920272638
uc.118,3479,0.484265431309145,0.461629106967144,-0.517565459476324,0.959965920272638
uc.119,113,0.0417681614299298,0.306307149542804,-0.400808793529652,0.950831593347253
uc.12,6188,0.207319545839238,0.362687498500012,-0.68733530131759,0.906311949504404
uc.120,70,0.0890662017561002,0.304142366861065,-0.364965080279358,0.950831593347253
uc.121,69,0.128741822239335,0.307243142054864,-0.345297237622099,0.773451412388701
uc.122,144,0.0764679215899606,0.307601939184487,-0.426961384308926,0.773451412388701
uc.123,4062,0.488949971413523,0.457838337293302,-0.535490916072672,0.92999496004032
uc.124,4244,0.494400481176924,0.459453524371805,-0.521297429620563,0.94608923128615
uc.125,3800,0.484018379431912,0.453533971728226,-0.479741762065904,0.87452180382557
uc.126,4038,0.500833692587517,0.464163486692106,-0.488969688242494,0.916027071783426
uc.127,67,0.297368116577455,0.312244702042384,-0.307823937408501,0.534538123695011
uc.128,709,0.298813837415958,0.326594187246502,-0.380816953464372,0.466311469508244
uc.129,294,0.0553614183331431,0.305973552211582,-0.466453068375453,0.502779177766578
uc.13,4058,-0.063526106675326,-0.319245446036432,-0.711750305997552,0.756826745386037
uc.130,3884,0.50639452144939,0.470678234574123,-0.503419972640219,0.907900736794106
uc.131,5,0.188332733338133,0.306503947968416,-0.305483956128351,0.32796937624499
uc.132,1,0.981143350853193,0.981143350853193,0.981143350853193,0.981143350853193
uc.133,1,0.981143350853193,0.981143350853193,0.981143350853193,0.981143350853193
uc.134,3174,0.470099019548108,0.445279237766098,-0.383132934936521,0.786627306981544
