RAWID,TCGAID
48271f49-4bbb-4b63-abcf-6c981a6383d1_gdc_realn_rehead.bam,TCGA-19-2625-01A-01R-1850-01.bam
492ef759-a33e-4b20-b0f1-18a551e11b1c_gdc_realn_rehead.bam,TCGA-06-0158-01A-01R-1849-01.bam
4a57c1b5-ff8b-49a5-83a3-78ba64ca576d_gdc_realn_rehead.bam,TCGA-76-4931-01A-01R-1850-01.bam
4bd2bd42-ce09-4755-8725-70cb4a9d4f9a_gdc_realn_rehead.bam,TCGA-06-0644-01A-02R-1849-01.bam
4c65a8fc-a9e5-4a74-b5b7-c57604ded342_gdc_realn_rehead.bam,TCGA-06-0138-01A-02R-1849-01.bam
4e38de64-b775-47b2-93da-5e6e781db69d_gdc_realn_rehead.bam,TCGA-06-2567-01A-01R-1849-01.bam
4e3b1d39-bb97-4eb2-a3ac-05972163f13c_gdc_realn_rehead.bam,TCGA-06-0171-02A-11R-2005-01.bam
501c664b-b172-4094-8f05-d9da1d27ab1e_gdc_realn_rehead.bam,TCGA-26-5134-01A-01R-1850-01.bam
50e3941e-7672-4420-ab65-30608ce8abe6_gdc_realn_rehead.bam,TCGA-06-0152-02A-01R-2005-01.bam
5280b92c-0fa4-4e7a-a18c-12c994f8c0b6_gdc_realn_rehead.bam,TCGA-19-2620-01A-01R-1850-01.bam
5287c4c8-2822-4d5c-9e51-b648103af641_gdc_realn_rehead.bam,TCGA-06-0747-01A-01R-1849-01.bam
5513e573-0594-4b1f-80c4-8450086a6337_gdc_realn_rehead.bam,TCGA-06-5856-01A-01R-1849-01.bam
593b8463-f60e-44b9-ad21-8952608ac325_gdc_realn_rehead.bam,TCGA-28-5216-01A-01R-1850-01.bam
5b8a7564-1e2b-49f2-8ae9-939d826bd8e0_gdc_realn_rehead.bam,TCGA-14-0736-02A-01R-2005-01.bam
5c04f1a0-a196-4e96-8394-12eb15df4e89_gdc_realn_rehead.bam,TCGA-32-2638-01A-01R-1850-01.bam
5f65daa0-e8eb-43f3-bf35-f3b966608abc_gdc_realn_rehead.bam,TCGA-06-0221-02A-11R-2005-01.bam
605175c7-d76a-4ba2-872d-2f31f2d0f8ab_gdc_realn_rehead.bam,TCGA-12-1597-01B-01R-1849-01.bam
60e26e91-6d7c-4603-8e8e-07ac14e091bc_gdc_realn_rehead.bam,TCGA-06-0157-01A-01R-1849-01.bam
61366b3a-26e3-4f9e-baf5-9512ed44bbef_gdc_realn_rehead.bam,TCGA-41-4097-01A-01R-1850-01.bam
62055ec1-b5b9-4f5f-8e70-2c02b9b111e4_gdc_realn_rehead.bam,TCGA-06-0130-01A-01R-1849-01.bam
640428c8-5f07-48ef-bab1-6be3fd24a59b_gdc_realn_rehead.bam,TCGA-15-1444-01A-02R-1850-01.bam
679825f4-f724-4f36-a9ed-7f07e28e2163_gdc_realn_rehead.bam,TCGA-06-0168-01A-01R-1849-01.bam
69e79bfd-8614-479d-9948-4775ef64bb09_gdc_realn_rehead.bam,TCGA-12-3650-01A-01R-1849-01.bam
6a242980-e12f-4738-956b-759a7f0809c0_gdc_realn_rehead.bam,TCGA-06-5413-01A-01R-1849-01.bam
6b48056a-ef73-4977-842a-37f560aa408e_gdc_realn_rehead.bam,TCGA-19-1787-01B-01R-1850-01.bam
6de56922-7cb4-4b24-bda5-ec417509536e_gdc_realn_rehead.bam,TCGA-14-1825-01A-01R-1850-01.bam
6e55af78-861a-42fc-8494-042af57cbb3d_gdc_realn_rehead.bam,TCGA-26-1442-01A-01R-1850-01.bam
70bf0fc0-6b8b-4022-a2f4-155887291351_gdc_realn_rehead.bam,TCGA-02-2485-01A-01R-1849-01.bam
7120047e-ca19-486b-bc4c-3002c8a7563c_gdc_realn_rehead.bam,TCGA-76-4929-01A-01R-1850-01.bam
72544ec4-8bcd-41ea-af19-71a9b14df122_gdc_realn_rehead.bam,TCGA-76-4932-01A-01R-1850-01.bam
73aac4e8-f07a-4b18-a272-fd4d4e34bf06_gdc_realn_rehead.bam,TCGA-06-0210-01A-01R-1849-01.bam
75705250-49df-4ea7-ad7b-37acab0ca4c3_gdc_realn_rehead.bam,TCGA-76-4927-01A-01R-1850-01.bam
7859bfd8-feeb-4208-8a25-6477b1d412af_gdc_realn_rehead.bam,TCGA-27-1832-01A-01R-1850-01.bam
79fb9497-3945-4e1d-bde0-a9b8f072b213_gdc_realn_rehead.bam,TCGA-06-0750-01A-01R-1849-01.bam
7a99c483-ac57-47da-83c1-c0b7c9eed80e_gdc_realn_rehead.bam,TCGA-19-4065-01A-01R-2005-01.bam
7d4e6bff-a7f8-4d4c-9e99-21474bd61d84_gdc_realn_rehead.bam,TCGA-06-0646-01A-01R-1849-01.bam
7dafc03d-3aa6-4d44-ac53-6da33ceaf600_gdc_realn_rehead.bam,TCGA-06-0141-01A-01R-1849-01.bam
7fdbb4ee-1ee1-4ec5-8dec-3ebdb22b539a_gdc_realn_rehead.bam,TCGA-08-0386-01A-01R-1849-01.bam
822e613b-6dc5-4309-a807-05ef9bfbc66e_gdc_realn_rehead.bam,TCGA-06-2557-01A-01R-1849-01.bam
8286a29b-3ae2-45f3-8f3f-8ebb202a8816_gdc_realn_rehead.bam,TCGA-06-0649-01B-01R-1849-01.bam
833ebab2-1d73-4b45-b51e-df18b11961fd_gdc_realn_rehead.bam,TCGA-27-2519-01A-01R-1850-01.bam
8538437d-ae45-4c6d-a861-9f899448ca0f_gdc_realn_rehead.bam,TCGA-32-5222-01A-01R-1850-01.bam
861828d5-b55a-4e4e-9ec9-34b4b076ec7d_gdc_realn_rehead.bam,TCGA-28-1747-01C-01R-1850-01.bam
86753e16-adc8-4992-a873-7a3bfa1d2600_gdc_realn_rehead.bam,TCGA-12-0619-01A-01R-1849-01.bam
89e36ce0-9c26-44d5-ab08-be0e206b9f6d_gdc_realn_rehead.bam,TCGA-19-2629-01A-01R-1850-01.bam
8cd9c9f6-3fe7-41b8-b079-848a34a56451_gdc_realn_rehead.bam,TCGA-27-2528-01A-01R-1850-01.bam
8f639d6f-ef3b-424a-a36d-8b0a07c18b26_gdc_realn_rehead.bam,TCGA-14-0787-01A-01R-1849-01.bam
959f6dd3-f4c8-4134-8a27-f535cfae096f_gdc_realn_rehead.bam,TCGA-06-0211-01B-01R-1849-01.bam
9637636a-1fb7-401a-85ed-b619512b56c3_gdc_realn_rehead.bam,TCGA-27-1837-01A-01R-1850-01.bam
976b653b-cbcf-4428-8371-5cfc45d8d5f6_gdc_realn_rehead.bam,TCGA-06-5408-01A-01R-1849-01.bam
99b4fa98-f683-43a9-af6c-658fb70e8564_gdc_realn_rehead.bam,TCGA-06-0219-01A-01R-1849-01.bam
9c2a9555-cb79-4292-b256-31bf0abb1c5b_gdc_realn_rehead.bam,TCGA-06-0125-02A-11R-2005-01.bam
a088efbd-a97a-4ace-affc-2cf6e58eb266_gdc_realn_rehead.bam,TCGA-12-0821-01A-01R-1849-01.bam
a112396c-5bc8-44d2-9437-d73f604e9537_gdc_realn_rehead.bam,TCGA-28-2514-01A-02R-1850-01.bam
a1b34887-c5f7-4be4-86a1-aeb928e60c42_gdc_realn_rehead.bam,TCGA-16-1045-01B-01R-1850-01.bam
a1f01073-e300-4472-810f-48de209f0e26_gdc_realn_rehead.bam,TCGA-06-5410-01A-01R-1849-01.bam
a276b334-6a55-47eb-b707-3b75d0304e63_gdc_realn_rehead.bam,TCGA-02-0055-01A-01R-1849-01.bam
a288ce0e-2b96-4788-9d2b-92e83e6a0d40_gdc_realn_rehead.bam,TCGA-32-1982-01A-01R-1850-01.bam
a8fea3ca-f04f-4f7c-b09a-f9ce722601a0_gdc_realn_rehead.bam,TCGA-06-0686-01A-01R-1849-01.bam
ab0d1471-6521-4d60-ab2f-f296b93784bc_gdc_realn_rehead.bam,TCGA-28-5208-01A-01R-1850-01.bam
af18be5a-ddcd-4247-9d56-dfe587b81f7a_gdc_realn_rehead.bam,TCGA-14-2554-01A-01R-1850-01.bam
afbf758e-17ae-4265-96b9-30fe3b1cb42f_gdc_realn_rehead.bam,TCGA-26-5135-01A-01R-1850-01.bam
b0f33953-380e-4840-a70d-4b5cab649bb0_gdc_realn_rehead.bam,TCGA-06-0878-01A-01R-1849-01.bam
