SAMPID	SMTSD
GTEX-1C6WA-3026-SM-7P8RQ	Cortex
GTEX-1CAV2-2726-SM-7IGNN	Cortex
GTEX-1CB4H-3126-SM-7IGN4	Cortex
GTEX-1E1VI-3026-SM-7RHHU	Cortex
GTEX-1E2YA-3026-SM-7IGO7	Cortex
GTEX-1EKGG-2926-SM-7EPIH	Cortex
GTEX-1EMGI-3026-SM-7P8P6	Cortex
GTEX-1EN7A-3026-SM-7PBYT	Cortex
GTEX-1EWIQ-3126-SM-7MXTI	Cortex
GTEX-1EX96-3026-SM-7RHH5	Cortex
GTEX-1F48J-2826-SM-7P8R4	Cortex
GTEX-1F52S-3126-SM-7PC3M	Cortex
GTEX-1F6I4-3126-SM-7P8SD	Cortex
GTEX-1F6RS-3126-SM-9MQK7	Cortex
GTEX-1F75A-3026-SM-9KNU2	Cortex
GTEX-1F75B-3026-SM-7PBZ7	Cortex
GTEX-1F7RK-1826-SM-7RHI4	Cortex
GTEX-1F88E-2826-SM-7RHHE	Cortex
GTEX-1GF9V-2926-SM-7PBXO	Cortex
GTEX-1GF9W-2626-SM-7P8TA	Cortex
GTEX-1GMR8-3026-SM-9KNVF	Cortex
GTEX-1GMRU-3026-SM-7P8TC	Cortex
GTEX-1GN1V-3126-SM-7PBZG	Cortex
GTEX-1GN2E-3026-SM-9WG6I	Cortex
GTEX-1GN73-3126-SM-9KNTY	Cortex
GTEX-1GZ2Q-3226-SM-9WG6L	Cortex
GTEX-1GZ4I-3026-SM-9KNTX	Cortex
GTEX-1GZHY-3126-SM-9QEHH	Cortex
GTEX-1H1DG-2926-SM-9WYU3	Cortex
GTEX-1H1ZS-3026-SM-9KNUJ	Cortex
GTEX-1H23P-2926-SM-9WYU8	Cortex
GTEX-1H2FU-3126-SM-9WYUJ	Cortex
GTEX-1H3NZ-3026-SM-9JGHW	Cortex
GTEX-1H3O1-1726-SM-9WYSR	Cortex
GTEX-1H3VE-2726-SM-9WPP3	Cortex
GTEX-1HB9E-2926-SM-D4P3S	Cortex
GTEX-1HBPH-3126-SM-9WYUV	Cortex
GTEX-1HBPI-2826-SM-ARZNO	Cortex
GTEX-1HBPM-2926-SM-CL54E	Cortex
GTEX-1HCU6-3126-SM-CL54L	Cortex
GTEX-1HCVE-3026-SM-CL54G	Cortex
GTEX-1HFI6-3026-SM-CNPPJ	Cortex
GTEX-1HGF4-3126-SM-CL54M	Cortex
GTEX-1HR98-3026-SM-CNPPK	Cortex
GTEX-1HSKV-3026-SM-A96SL	Cortex
GTEX-1HSMO-3026-SM-A9G3F	Cortex
GTEX-1HT8W-3026-SM-CGQEO	Cortex
GTEX-1HUB1-2926-SM-ACKXA	Cortex
GTEX-1I19N-3026-SM-CL55E	Cortex
GTEX-1I1CD-3026-SM-B2LY2	Cortex
GTEX-1I1GQ-3026-SM-CL55K	Cortex
GTEX-1I1GR-2926-SM-CNNQG	Cortex
GTEX-1I1GV-3126-SM-A96SF	Cortex
