row,pvalue,value
RC-Pol.II,0.49218,0.307876038
TUCR-Pol.II,1.13E-07,6.946921557
Intergenic-Pol.II,5.01E-03,2.300032265
RC-H3K4me3,0.47557,0.322785549
TUCR-H3K4me3,1.93E-55,54.71444269
Intergenic-H3k4me3,7.03E-19,18.15301379
