id,counts
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DB-A75P-01A-11R-A32Q-07,135360384
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DH-5140-01A-01R-1470-07,153931096
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DH-5141-01A-01R-1470-07,161004981
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DH-5142-01A-01R-1470-07,136654492
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DH-5143-01A-01R-1470-07,145269907
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DH-5144-01A-01R-1470-07,156235817
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DH-A669-02A-11R-A31N-07,122862614
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DH-A66D-01A-11R-A31N-07,142063712
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DH-A66F-01A-11R-A29R-07,118501370
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DH-A66G-01A-21R-A31N-07,117939718
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DH-A7UR-01A-11R-A33Z-07,133226227
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DH-A7US-01A-11R-A33Z-07,131594510
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DH-A7UT-01A-12R-A34F-07,106935231
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DH-A7UU-01A-12R-A34F-07,129699468
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DH-A7UV-01A-12R-A34F-07,156535077
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-5847-01A-11R-1708-07,161043561
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-5849-01A-11R-1708-07,174818167
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-5852-01A-11R-1708-07,147063901
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-5853-01A-11R-1896-07,142488497
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-5854-01A-11R-1708-07,140267450
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-5855-01A-11R-1708-07,151067885
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-5870-01A-11R-1708-07,151075075
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-5870-02A-12R-A36H-07,137984633
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-5871-01A-12R-1708-07,148078955
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-5872-01A-11R-1708-07,171914878
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-5872-02A-21R-A36H-07,108981053
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-5874-01A-11R-1708-07,173089019
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6392-01A-11R-1708-07,182243754
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6393-01A-11R-1708-07,199761062
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6394-01A-11R-1708-07,180773701
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6395-01A-13R-1708-07,164158457
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6396-01A-11R-1708-07,161889840
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6397-01A-11R-1708-07,149600393
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6397-02A-12R-A36H-07,115614770
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6399-01A-12R-1708-07,152212763
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6400-01A-12R-1708-07,191238480
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6401-01A-11R-1708-07,149482243
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6402-01A-11R-1708-07,158090449
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6403-01A-11R-1708-07,142660068
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6404-01A-11R-1708-07,180388944
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6404-02A-21R-A36H-07,157526850
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6404-02B-11R-A36H-07,148800246
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6406-01A-11R-1708-07,157216468
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6407-01A-13R-1708-07,136098139
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6407-02A-12R-A36H-07,116355377
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6407-02B-11R-A36H-07,171699753
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6408-01A-11R-1708-07,135209344
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6410-01A-11R-1896-07,156596482
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-6542-01A-11R-1896-07,122535483
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-7006-01A-11R-2027-07,164211036
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-7007-01A-11R-2027-07,158593190
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-7009-01A-11R-2027-07,175454877
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-7010-01A-11R-2027-07,169739467
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-7011-01A-11R-2027-07,163015376
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-7012-01A-11R-2027-07,155427319
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-7013-01A-11R-2027-07,203067156
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-7014-01A-11R-2027-07,194091473
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-7015-01A-11R-2027-07,183895625
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DU-7018-01A-11R-2027-07,210739551
