searchTUCR,ngenes,meancor,mediancor,mincor,maxcor
uc.1,1995,-0.0888382520585299,-0.31840934508172,-0.724810656902026,0.644657034882081
uc.2,985,-0.101426778170259,-0.313033848348987,-0.513835354540003,0.9634701359776
uc.3,999,-0.109793734946907,-0.315234168478276,-0.523792576603991,0.9634701359776
uc.4,52,-0.00162275359487469,-0.300729072161947,-0.461473013319308,0.653913485014073
uc.5,17,0.180148568980967,0.303469735588495,-0.418313615686517,0.954619079814838
uc.6,15,0.163506474322167,0.319232417685915,-0.437406989155825,0.954619079814838
uc.7,62,-0.119702918915834,-0.308648131684337,-0.44398811208347,0.925171189091945
uc.8,43,-0.0430156723342535,-0.304281706494766,-0.420012721453849,0.925171189091945
uc.9,1385,0.348065563827705,0.347208059468702,0.300036490007107,0.569103155703133
uc.10,1850,0.36975053191127,0.368142494842715,-0.309499868508578,0.569103155703133
uc.12,5949,0.210832038699292,0.361980233517846,-0.589267206039324,0.922119587126034
uc.13,4803,-0.0755938612136681,-0.318894907869557,-0.690126404660529,0.657923927889922
uc.14,3592,0.402445249465041,0.435279558043226,-0.395766158202835,0.655884400385466
uc.15,933,-0.00957691112821819,-0.300391471348065,-0.467448820717588,0.648492034531741
uc.16,2713,0.400659017988135,0.407326392648856,-0.391058310303377,0.561690224408994
uc.17,620,0.0523270387312761,0.304989257742297,-0.479735852387457,0.638592140907846
uc.18,78,0.339174904217523,0.32942505034438,0.30039802316979,0.413167341716632
uc.19,345,-0.11212254665565,-0.3206977508142,-0.453227363683434,0.8602757588966
uc.20,356,-0.109218276670692,-0.318502435548729,-0.466034719195291,0.8602757588966
uc.21,4620,0.0328113806159698,0.310499931296869,-0.64835726719876,0.624496624446849
uc.22,329,-0.152750166306273,-0.317157310149591,-0.444274572288888,0.602935125135245
uc.23,607,-0.0792520212510191,-0.310882848877682,-0.505326540064845,0.602935125135245
uc.24,2445,-0.0546992304339399,-0.309643553598907,-0.630555239591931,0.797147955604128
uc.25,2910,-0.0435368189944267,-0.307906501864084,-0.653421370404511,0.797147955604128
uc.26,2232,0.371712350049249,0.378965922337253,-0.366021342559269,0.560611084772383
uc.27,2626,0.408827071661915,0.40433352958466,-0.305891998678716,0.560611084772383
uc.28,2900,0.197646820849315,0.337370817640052,-0.654451007388089,0.74132925543096
uc.29,2936,0.424862308503738,0.421461629529061,0.300036944994727,0.58527550865341
uc.30,5722,0.454881970691462,0.48857016500581,-0.478259326563724,0.960985175593372
uc.31,0,NaN,NA,Inf,-Inf
uc.33,234,-0.152154596595649,-0.316091183158906,-0.488423022009571,0.36718856779907
uc.34,2471,-0.0780247147293819,-0.309833010443786,-0.539255785850067,0.563967073455931
uc.35,4267,0.449494353555335,0.48394275891753,-0.42248648914263,0.799834020516302
uc.36,6016,-0.131067847445899,-0.336711631576505,-0.840513553626206,0.647428182479155
uc.37,1930,0.0658846143003703,0.312102943678903,-0.626559356319915,0.654059991027644
uc.38,5917,0.431822791101347,0.475012534908925,-0.492922394581643,0.976241911457589
uc.39,5534,0.443628669068468,0.480204580633361,-0.472188608747956,0.9413039581193
uc.40,1,0.326238135060345,0.326238135060345,0.326238135060345,0.326238135060345
uc.41,4711,0.451412931699002,0.487704050572784,-0.438967778686742,0.840209712893712
uc.42,5426,0.455966321116041,0.487360807912417,-0.472291162957456,0.916892416357351
uc.43,6759,-0.0426212482253845,-0.310921977812984,-0.774881680469475,0.742899872694464
uc.44,4186,-0.0336838143547158,-0.309316508497804,-0.59910367438902,0.76008466409629
uc.45,4424,0.088516166634916,0.321757917467066,-0.652408567962866,0.680965228936121
uc.46,4997,0.212823555165321,0.350028072736141,-0.56934912201039,0.777420056400265
uc.283,4298,0.441673332037691,0.460088849982392,-0.445129585023992,0.750943325832104
uc.284,2768,0.413832078037394,0.415029560545658,-0.345675752162784,0.622050338010303
uc.285,3145,0.159625005945401,0.338324608187411,-0.578518669507003,0.659254129695131
uc.286,2924,0.41943425769419,0.419247796267464,-0.3261285740415,0.593552643432572
uc.287,559,0.321285656026602,0.319642361531343,0.300048319685221,0.371893776770334
uc.288,2583,0.429468223085639,0.424154018769149,0.300036217014535,0.673912283846757
uc.289,4587,0.385230556392366,0.439175890024033,-0.436214921591984,0.748618430092517
uc.290,1771,0.375473012130328,0.373314430114357,-0.305110147952874,0.527894198998845
uc.291,1273,0.33466942300478,0.338830554420614,-0.339208831127705,0.445401849615672
uc.292,7606,-0.0974595598036581,-0.332216399391773,-0.785698010157144,0.804902673598251
uc.293,1294,0.342667222686385,0.341626862833062,-0.300137952246319,0.684507762543781
uc.294,220,0.307725194261101,0.306838918913016,-0.302753221084854,0.633577267362555
uc.295,800,0.326686032835547,0.324047733661167,0.300012375663258,0.684507762543781
uc.296,180,-0.212882342527015,-0.313956517743152,-0.403918262384081,0.615009313596577
uc.297,2271,0.373934457711481,0.37559901395083,-0.323207553522469,0.615009313596577
uc.298,1436,0.324819094767835,0.343571525418793,-0.364076543477252,0.467887701775635
uc.299,29,0.333548113638587,0.308772889289682,0.301389077203209,0.6126552076518
uc.300,1913,0.367463787978913,0.366807470168737,0.30000527785639,0.678368614589997
uc.301,1980,0.362975469668784,0.364581579735215,-0.329050868525867,0.678368614589997
uc.302,4003,0.391946712560129,0.441195216078171,-0.410403200928903,0.689205873708177
uc.303,3371,0.435300585786694,0.440110434595075,-0.371076528007673,0.682954889797449
uc.304,1959,0.34481951089143,0.357584598123085,-0.346307365976572,0.58045036494557
uc.305,178,0.0412754631137498,0.302953688630132,-0.362963370766682,0.873943041009854
