target,role,tag
PHLPP1,TSG,cancermine
PITX2,ONC,cancermine
PLAGL1,TSG,cancermine
PLP2,ONC,cancermine
PMAIP1,TSG,cancermine
PPRC1,ONC,cancermine
PRSS27,ONC,cancermine
PRUNE2,TSG,cancermine
PTP4A2,ONC,cancermine
RAD51AP1,ONC,cancermine
RASSF5,TSG,cancermine
RECQL5,TSG,cancermine
RPA1,ONC,cancermine
RPL22,TSG,cancermine
RRAD,TSG,cancermine
RSPO1,TSG,cancermine
S100P,ONC,cancermine
SEC62,ONC,cancermine
SELENBP1,TSG,cancermine
SEMA3A,TSG,cancermine
SFTPC,ONC,cancermine
SGK1,ONC,cancermine
SH3GL2,TSG,cancermine
SHC1,ONC,cancermine
SIRT5,TSG,cancermine
SLC22A18,TSG,cancermine
SLC8A2,TSG,cancermine
SPAG5,ONC,cancermine
SPIB,ONC,cancermine
SRCIN1,TSG,cancermine
SSX2,ONC,cancermine
STAG2,TSG,cancermine
STMN1,TSG,cancermine
TARBP2,ONC,cancermine
TARDBP,ONC,cancermine
TFAP2C,ONC,cancermine
TFEB,ONC,cancermine
THBS2,ONC,cancermine
TLR4,ONC,cancermine
TMEFF2,TSG,cancermine
TMEM176A,TSG,cancermine
TMPO,ONC,cancermine
TNFRSF14,TSG,cancermine
TNFRSF8,ONC,cancermine
TNK2,ONC,cancermine
TPT1,ONC,cancermine
TRIB1,ONC,cancermine
TRIM15,TSG,cancermine
TRIM16,TSG,cancermine
TRIP13,ONC,cancermine
TRPM3,ONC,cancermine
TRPM7,ONC,cancermine
TSLP,ONC,cancermine
TUSC2,TSG,cancermine
UBR5,ONC,cancermine
UNC5C,TSG,cancermine
USP11,TSG,cancermine
USP7,ONC,cancermine
VGLL4,TSG,cancermine
WBP2,ONC,cancermine
WEE1,ONC,cancermine
WRAP53,ONC,cancermine
XAF1,TSG,cancermine
XBP1,ONC,cancermine
YES1,ONC,cancermine
ZBTB33,ONC,cancermine
ZFP82,TSG,cancermine
ZMYND10,TSG,cancermine
ZMYND11,TSG,cancermine
ZNF322,ONC,cancermine
ZNF350,TSG,cancermine
ZNF671,TSG,cancermine
ABL2,ONC,cancermine
ABR,TSG,cancermine
ACVR2A,TSG,cancermine
ADAM17,ONC,cancermine
ADAMTS1,TSG,cancermine
ADAMTS15,TSG,cancermine
ADAR,ONC,cancermine
ADARB1,TSG,cancermine
ADRM1,ONC,cancermine
AGXT,ONC,cancermine
AHRR,TSG,cancermine
AKR1C3,ONC,cancermine
ALDH1A1,ONC,cancermine
ANGPTL4,TSG,cancermine
ANXA10,TSG,cancermine
APOA2,ONC,cancermine
APOE,TSG,cancermine
ARAF,ONC,cancermine
ARHGAP26,TSG,cancermine
ARHGEF1,ONC,cancermine
ARHGEF2,ONC,cancermine
ARID2,TSG,cancermine
ARRDC3,TSG,cancermine
ATAD2,ONC,cancermine
AURKB,ONC,cancermine
BACH1,ONC,cancermine
BANF1,ONC,cancermine
BCL2A1,ONC,cancermine
BLMH,TSG,cancermine
BMP3,TSG,cancermine
BMP5,TSG,cancermine
BMP7,ONC,cancermine
BRD2,ONC,cancermine
CA9,ONC,cancermine
CADM4,TSG,cancermine
CAPNS1,ONC,cancermine
CASP3,ONC,cancermine
CASP8,TSG,cancermine
CCNA1,ONC,cancermine
CCNE2,ONC,cancermine
CCR7,ONC,cancermine
CD40LG,ONC,cancermine
CDH5,ONC,cancermine
CELF2,TSG,cancermine
CENPF,ONC,cancermine
CFL2,TSG,cancermine
CHEK2,TSG,cancermine
CHI3L1,ONC,cancermine
CHUK,ONC,cancermine
CIAPIN1,TSG,cancermine
CLDN6,TSG,cancermine
CLK2,ONC,cancermine
CMTM4,TSG,cancermine
CMTM5,TSG,cancermine
CMTM8,TSG,cancermine
CNTNAP1,ONC,cancermine
COL6A1,ONC,cancermine
COMP,ONC,cancermine
COPS6,ONC,cancermine
COX8A,ONC,cancermine
CSE1L,ONC,cancermine
CXCL16,TSG,cancermine
CYP24A1,ONC,cancermine
DEGS1,ONC,cancermine
DERL1,ONC,cancermine
DLEU7,TSG,cancermine
DMP1,TSG,cancermine
DNM1L,ONC,cancermine
DOK1,TSG,cancermine
DPEP1,TSG,cancermine
DUSP22,TSG,cancermine
DUSP9,TSG,cancermine
DYRK1B,ONC,cancermine
EBF3,TSG,cancermine
EGLN3,TSG,cancermine
EMX2,TSG,cancermine
EPB41,TSG,cancermine
ERAS,ONC,cancermine
ESPL1,ONC,cancermine
EYA1,ONC,cancermine
F2R,ONC,cancermine
FAM168A,ONC,cancermine
FGF7,ONC,cancermine
FGF9,ONC,cancermine
FGFR1OP,ONC,cancermine
FGR,ONC,cancermine
FIP1L1,ONC,cancermine
FOXJ2,TSG,cancermine
FOXN3,TSG,cancermine
FOXO4,TSG,cancermine
FOXS1,ONC,cancermine
FRS2,ONC,cancermine
GADD45A,TSG,cancermine
GAST,ONC,cancermine
GBP1,TSG,cancermine
GJB1,TSG,cancermine
GJB5,TSG,cancermine
GPR132,ONC,cancermine
GREM1,ONC,cancermine
HCAR2,TSG,cancermine
HCCS,ONC,cancermine
HDAC4,ONC,cancermine
HEPACAM,TSG,cancermine
HIPK2,TSG,cancermine
HK1,ONC,cancermine
HSPD1,TSG,cancermine
IDO1,ONC,cancermine
IFT88,TSG,cancermine
IL18,ONC,cancermine
INHA,TSG,cancermine
KAT2B,ONC,cancermine
KCNN4,ONC,cancermine
KIF11,ONC,cancermine
KIF18B,ONC,cancermine
KIF20A,ONC,cancermine
KIF26B,ONC,cancermine
KLF9,TSG,cancermine
KRT19,TSG,cancermine
KSR1,TSG,cancermine
L3MBTL1,TSG,cancermine
LARP4B,TSG,cancermine
LDOC1,TSG,cancermine
LHX1,ONC,cancermine
LLGL1,TSG,cancermine
LMO7,TSG,cancermine
LRRC3B,TSG,cancermine
MAFA,ONC,cancermine
MAFB,ONC,cancermine
MAGEA12,ONC,cancermine
MAP2K5,ONC,cancermine
MBTPS1,ONC,cancermine
MCPH1,TSG,cancermine
MERTK,ONC,cancermine
MIIP,TSG,cancermine
MLLT10,ONC,cancermine
MST1,TSG,cancermine
MT1G,TSG,cancermine
MYBL1,ONC,cancermine
NCAPG,ONC,cancermine
NDST4,TSG,cancermine
NEK2,ONC,cancermine
NETO2,ONC,cancermine
NKD2,TSG,cancermine
NOL7,TSG,cancermine
NOS2,ONC,cancermine
NPC1,ONC,cancermine
NPY,ONC,cancermine
NR3C2,TSG,cancermine
OLFM4,TSG,cancermine
PAEP,TSG,cancermine
PALB2,TSG,cancermine
PAPOLG,ONC,cancermine
PARVG,TSG,cancermine
PCBP1,TSG,cancermine
PCBP2,ONC,cancermine
PCDH9,TSG,cancermine
PDE10A,ONC,cancermine
PDE4A,ONC,cancermine
PDLIM4,TSG,cancermine
PEBP1,TSG,cancermine
PIK3CB,ONC,cancermine
PIK3CD,ONC,cancermine
PITX1,TSG,cancermine
PLK4,TSG,cancermine
PNP,ONC,cancermine
POU4F1,ONC,cancermine
PRKD1,ONC,cancermine
PRSS8,TSG,cancermine
PSAT1,ONC,cancermine
PSPH,ONC,cancermine
PTOV1,ONC,cancermine
PTPN2,TSG,cancermine
RAB27B,ONC,cancermine
RAC3,ONC,cancermine
RACGAP1,ONC,cancermine
RASGRP1,ONC,cancermine
RBM3,ONC,cancermine
RDM1,ONC,cancermine
REST,ONC,cancermine
RIN1,TSG,cancermine
RPH3AL,TSG,cancermine
RPL10,ONC,cancermine
RPRD1B,ONC,cancermine
RPS6KB1,ONC,cancermine
RREB1,ONC,cancermine
SALL1,TSG,cancermine
SAPCD2,ONC,cancermine
SCARA3,TSG,cancermine
SEMA3C,ONC,cancermine
SEMA5A,TSG,cancermine
SHMT2,ONC,cancermine
SHPRH,TSG,cancermine
SIRT4,TSG,cancermine
SLC12A5,ONC,cancermine
SLC1A5,ONC,cancermine
SLC35F2,ONC,cancermine
SLC6A7,ONC,cancermine
SLIT3,TSG,cancermine
SMURF1,ONC,cancermine
SND1,ONC,cancermine
SOCS2,ONC,cancermine
SOD1,TSG,cancermine
SOX12,ONC,cancermine
SOX18,ONC,cancermine
SOX30,TSG,cancermine
SPARCL1,TSG,cancermine
SPHK2,ONC,cancermine
SPINK5,TSG,cancermine
SPRED1,TSG,cancermine
SQLE,ONC,cancermine
SREBF1,ONC,cancermine
SRSF3,ONC,cancermine
SRSF5,ONC,cancermine
STARD8,TSG,cancermine
STK39,ONC,cancermine
STYK1,ONC,cancermine
SUN2,TSG,cancermine
TAL2,ONC,cancermine
TBX21,ONC,cancermine
TCF7L2,ONC,cancermine
TCHP,TSG,cancermine
TDP2,ONC,cancermine
TFE3,ONC,cancermine
TIAM1,ONC,cancermine
TLE4,TSG,cancermine
TMEM106A,TSG,cancermine
TMEM127,TSG,cancermine
TMPRSS2,ONC,cancermine
TNC,ONC,cancermine
TOX3,TSG,cancermine
TRAF4,ONC,cancermine
TRAP1,ONC,cancermine
TRIM13,TSG,cancermine
TRIM26,TSG,cancermine
TRPV1,TSG,cancermine
TSPAN8,ONC,cancermine
TYRO3,ONC,cancermine
UBAP2L,ONC,cancermine
UBIAD1,TSG,cancermine
UPK1A,TSG,cancermine
USP6,ONC,cancermine
VEGFC,ONC,cancermine
VPS4A,TSG,cancermine
WDR5,ONC,cancermine
WNK2,TSG,cancermine
WNT10B,ONC,cancermine
WNT3A,ONC,cancermine
WRN,TSG,cancermine
XPO4,TSG,cancermine
ZFX,ONC,cancermine
ZKSCAN3,ONC,cancermine
ZMAT3,ONC,cancermine
ZNF292,TSG,cancermine
ZNF382,TSG,cancermine
ZNF423,ONC,cancermine
ZYX,TSG,cancermine
A1CF,ONC,cancermine
ABCB4,TSG,cancermine
ABCG1,ONC,cancermine
ABCG2,ONC,cancermine
ABI1,TSG,cancermine
ACSL4,TSG,cancermine
ACSL6,TSG,cancermine
ACY1,TSG,cancermine
ADA,ONC,cancermine
ADAM9,ONC,cancermine
ADAMTS18,TSG,cancermine
ADM,ONC,cancermine
AFAP1L1,ONC,cancermine
AFP,ONC,cancermine
AGAP2,ONC,cancermine
AGER,ONC,cancermine
AGK,ONC,cancermine
AICDA,ONC,cancermine
AIP,TSG,cancermine
AKAP13,ONC,cancermine
AKIP1,ONC,cancermine
ALOX15B,TSG,cancermine
ALOX5,ONC,cancermine
ANP32A,TSG,cancermine
ANTXR2,ONC,cancermine
ANXA4,TSG,cancermine
APC2,TSG,cancermine
APP,ONC,cancermine
ARG2,TSG,cancermine
ARHGAP17,TSG,cancermine
ARHGAP24,TSG,cancermine
ARHGDIA,TSG,cancermine
ARHGEF12,TSG,cancermine
ARHGEF5,ONC,cancermine
ARID5B,ONC,cancermine
ARL2,ONC,cancermine
ARPC5,ONC,cancermine
ASPSCR1,ONC,cancermine
ASS1,TSG,cancermine
ASXL3,ONC,cancermine
AURKC,ONC,cancermine
B4GALT3,ONC,cancermine
BAALC,ONC,cancermine
BACH2,TSG,cancermine
BATF2,TSG,cancermine
BCAR1,ONC,cancermine
BCHE,ONC,cancermine
BCL2L14,ONC,cancermine
BCL7A,TSG,cancermine
BLID,TSG,cancermine
BMPR2,ONC,cancermine
BPTF,ONC,cancermine
BZW2,ONC,cancermine
CA4,TSG,cancermine
CABLES1,TSG,cancermine
CACNA1A,TSG,cancermine
CADM3,TSG,cancermine
CAPG,ONC,cancermine
CAPN1,TSG,cancermine
CBLL1,ONC,cancermine
CBY1,TSG,cancermine
CCK,ONC,cancermine
CCKBR,TSG,cancermine
CCL21,ONC,cancermine
CCNB2,ONC,cancermine
CCNDBP1,TSG,cancermine
CD33,ONC,cancermine
CD38,ONC,cancermine
CD63,TSG,cancermine
CD82,TSG,cancermine
CDC25B,ONC,cancermine
CDC37,ONC,cancermine
CDC5L,ONC,cancermine
CDCA5,ONC,cancermine
CDCA7,ONC,cancermine
CDCP1,ONC,cancermine
CDK11B,TSG,cancermine
CDK20,ONC,cancermine
CDO1,TSG,cancermine
CDR1,TSG,cancermine
CDX1,TSG,cancermine
CEACAM6,ONC,cancermine
CEBPB,ONC,cancermine
CELF1,TSG,cancermine
CERS2,TSG,cancermine
CHRDL1,TSG,cancermine
CIITA,ONC,cancermine
CISD2,ONC,cancermine
CKAP2,ONC,cancermine
CKAP5,ONC,cancermine
CLDN11,TSG,cancermine
CLDN3,ONC,cancermine
CLEC4C,TSG,cancermine
CLIC3,ONC,cancermine
CLIC4,TSG,cancermine
CLTC,ONC,cancermine
CMIP,ONC,cancermine
CNN1,TSG,cancermine
CNOT1,ONC,cancermine
CNTD2,ONC,cancermine
CNTF,ONC,cancermine
CNTN4,TSG,cancermine
COL1A2,ONC,cancermine
COL3A1,ONC,cancermine
CPNE1,ONC,cancermine
CREM,ONC,cancermine
CRIP2,TSG,cancermine
CRK,ONC,cancermine
CRNN,TSG,cancermine
CRTC2,TSG,cancermine
CSMD2,TSG,cancermine
CSNK1A1,TSG,cancermine
CSTA,TSG,cancermine
CT45A1,ONC,cancermine
CTAG1A,ONC,cancermine
CTR9,TSG,cancermine
CUEDC2,TSG,cancermine
CUL3,TSG,cancermine
CUL4B,ONC,cancermine
CXCR2,ONC,cancermine
CYP19A1,TSG,cancermine
CYP26A1,ONC,cancermine
CYSLTR2,ONC,cancermine
DAPK2,TSG,cancermine
DCDC2,TSG,cancermine
DDX41,TSG,cancermine
DDX6,ONC,cancermine
DENND2D,TSG,cancermine
DEPDC1,ONC,cancermine
DES,ONC,cancermine
DISC1,ONC,cancermine
DKK2,TSG,cancermine
DMTF1,TSG,cancermine
DNAJA3,TSG,cancermine
DPYSL3,ONC,cancermine
DSC3,TSG,cancermine
DSP,TSG,cancermine
DUSP26,TSG,cancermine
DYNLT3,ONC,cancermine
E2F8,ONC,cancermine
EEF2K,ONC,cancermine
EHD2,TSG,cancermine
EHD3,TSG,cancermine
EIF4A3,ONC,cancermine
ELAC2,TSG,cancermine
ELK4,ONC,cancermine
ENPEP,TSG,cancermine
EOMES,TSG,cancermine
EPHA5,TSG,cancermine
EPN3,ONC,cancermine
EREG,ONC,cancermine
ESCO2,TSG,cancermine
ESRRB,TSG,cancermine
ESRRG,TSG,cancermine
FAM83A,ONC,cancermine
FBXO4,TSG,cancermine
FBXW5,ONC,cancermine
FERMT1,ONC,cancermine
FGA,ONC,cancermine
FGF1,ONC,cancermine
FGF10,ONC,cancermine
FGF19,ONC,cancermine
FKBP2,ONC,cancermine
FKBP5,TSG,cancermine
FLNA,TSG,cancermine
FLRT2,TSG,cancermine
FN1,ONC,cancermine
FOXD1,ONC,cancermine
FOXL1,TSG,cancermine
FOXL2,TSG,cancermine
FOXN2,TSG,cancermine
FSTL5,TSG,cancermine
GABARAP,TSG,cancermine
GADD45B,ONC,cancermine
GBX2,ONC,cancermine
GDNF,ONC,cancermine
GGNBP2,TSG,cancermine
GLO1,TSG,cancermine
GNG7,TSG,cancermine
GOPC,ONC,cancermine
GPR161,TSG,cancermine
GPR65,TSG,cancermine
GPR87,ONC,cancermine
GRHL3,TSG,cancermine
GSPT1,ONC,cancermine
GTF2B,TSG,cancermine
GTF2I,ONC,cancermine
HERC4,ONC,cancermine
HES1,ONC,cancermine
HES6,ONC,cancermine
HEXIM1,TSG,cancermine
HINT1,TSG,cancermine
HIP1,ONC,cancermine
HIPK1,ONC,cancermine
HLA-C,ONC,cancermine
HLF,ONC,cancermine
HMGCS2,TSG,cancermine
HMOX1,ONC,cancermine
HNRNPD,ONC,cancermine
HOXB3,TSG,cancermine
HOXB5,ONC,cancermine
HOXC13,ONC,cancermine
HOXD9,ONC,cancermine
HPSE,ONC,cancermine
HSPG2,ONC,cancermine
HUWE1,TSG,cancermine
HYAL2,TSG,cancermine
IBSP,ONC,cancermine
ICOSLG,ONC,cancermine
IFITM3,ONC,cancermine
IHH,ONC,cancermine
IKBKG,ONC,cancermine
IKZF2,TSG,cancermine
IL13,ONC,cancermine
IL17RB,ONC,cancermine
IL1RAPL1,TSG,cancermine
IL2RG,ONC,cancermine
IL32,TSG,cancermine
IL33,TSG,cancermine
ING2,TSG,cancermine
INO80,ONC,cancermine
INPP5J,TSG,cancermine
IRAK1,ONC,cancermine
IST1,ONC,cancermine
ISX,ONC,cancermine
ITGA7,TSG,cancermine
ITLN1,TSG,cancermine
ITM2A,TSG,cancermine
JAG1,ONC,cancermine
JAM3,TSG,cancermine
KAT5,TSG,cancermine
KCNH2,ONC,cancermine
KCNK9,ONC,cancermine
KDM5D,TSG,cancermine
KIAA1324,TSG,cancermine
KIF1B,ONC,cancermine
KIF20B,ONC,cancermine
KIF5A,ONC,cancermine
KLK6,TSG,cancermine
KPNA2,ONC,cancermine
KRT14,ONC,cancermine
L3MBTL4,TSG,cancermine
LAMP3,ONC,cancermine
LBH,TSG,cancermine
LCK,ONC,cancermine
LDHA,ONC,cancermine
LEF1,ONC,cancermine
LETM1,TSG,cancermine
LGMN,ONC,cancermine
LHX3,ONC,cancermine
LHX9,TSG,cancermine
LIF,TSG,cancermine
LIMD1,TSG,cancermine
LITAF,TSG,cancermine
LMCD1,ONC,cancermine
LMTK3,ONC,cancermine
LOXL2,ONC,cancermine
LRIG3,TSG,cancermine
LRRN2,ONC,cancermine
LTBP2,ONC,cancermine
LUM,ONC,cancermine
LYVE1,ONC,cancermine
LZTR1,TSG,cancermine
MAEL,ONC,cancermine
MAP3K9,TSG,cancermine
MAP4K1,TSG,cancermine
MAPKAPK2,ONC,cancermine
MAPT,ONC,cancermine
MAVS,ONC,cancermine
MCM10,ONC,cancermine
MCM3AP,ONC,cancermine
MCRS1,ONC,cancermine
METTL14,TSG,cancermine
MGAT5,ONC,cancermine
MIB2,TSG,cancermine
MLANA,ONC,cancermine
MLXIP,ONC,cancermine
MMP12,ONC,cancermine
MMP13,ONC,cancermine
MMP3,ONC,cancermine
MPO,ONC,cancermine
MS4A1,ONC,cancermine
MSMP,ONC,cancermine
MTBP,ONC,cancermine
MTCP1,ONC,cancermine
MUC5B,ONC,cancermine
MYLK,ONC,cancermine
MYOF,ONC,cancermine
NBPF1,TSG,cancermine
NCALD,ONC,cancermine
NCAPG2,ONC,cancermine
NDN,TSG,cancermine
NEDD4,ONC,cancermine
NEDD4L,TSG,cancermine
NEUROD2,TSG,cancermine
NGB,TSG,cancermine
NIT2,ONC,cancermine
NKX6-2,TSG,cancermine
NME2,ONC,cancermine
NMU,ONC,cancermine
NOD1,TSG,cancermine
NOS1AP,TSG,cancermine
NOVA1,ONC,cancermine
NRARP,ONC,cancermine
NRBP1,TSG,cancermine
NRIP1,TSG,cancermine
NT5C1A,ONC,cancermine
NUDT1,ONC,cancermine
NUSAP1,ONC,cancermine
OCM,ONC,cancermine
OIP5,ONC,cancermine
OPTN,TSG,cancermine
ORAI3,ONC,cancermine
OSCP1,TSG,cancermine
OTUB1,ONC,cancermine
OTUB2,ONC,cancermine
P2RY2,ONC,cancermine
PABPC1,ONC,cancermine
PAPPA,ONC,cancermine
PARP4,TSG,cancermine
PARVA,ONC,cancermine
PAX1,TSG,cancermine
PAX4,TSG,cancermine
PCNP,TSG,cancermine
PDCD2,TSG,cancermine
PDCD6,TSG,cancermine
PDK3,ONC,cancermine
PDPN,ONC,cancermine
PDRG1,ONC,cancermine
PDSS2,TSG,cancermine
PEA15,TSG,cancermine
PEG10,ONC,cancermine
PEG3,TSG,cancermine
PES1,ONC,cancermine
PGF,ONC,cancermine
PGK1,ONC,cancermine
PHC3,TSG,cancermine
PHF19,ONC,cancermine
PHF5A,ONC,cancermine
PIAS1,TSG,cancermine
PICALM,ONC,cancermine
PIGT,ONC,cancermine
PIWIL4,ONC,cancermine
PKP1,TSG,cancermine
PLA2R1,TSG,cancermine
PLAU,ONC,cancermine
PLCD1,TSG,cancermine
PLG,ONC,cancermine
PLIN1,TSG,cancermine
PLK5,TSG,cancermine
PLOD3,ONC,cancermine
POLQ,TSG,cancermine
POU2F2,TSG,cancermine
POU4F2,ONC,cancermine
POU6F2,TSG,cancermine
PPARGC1A,TSG,cancermine
PPP1R13B,TSG,cancermine
PPP2R1A,ONC,cancermine
PPP2R1B,TSG,cancermine
PRAME,TSG,cancermine
PRCC,ONC,cancermine
PREB,ONC,cancermine
PRG3,ONC,cancermine
PRKD3,ONC,cancermine
PRLR,ONC,cancermine
PRMT1,ONC,cancermine
PRMT6,ONC,cancermine
PROS1,TSG,cancermine
PRSS50,ONC,cancermine
PTCD3,ONC,cancermine
PTCH2,ONC,cancermine
PTGES,ONC,cancermine
PTGR2,ONC,cancermine
PTPN14,TSG,cancermine
PTPRB,TSG,cancermine
PTPRF,TSG,cancermine
PUM1,ONC,cancermine
PYGO2,ONC,cancermine
QRSL1,ONC,cancermine
RAB23,ONC,cancermine
RAB2A,ONC,cancermine
RAB3A,ONC,cancermine
RAB3IP,ONC,cancermine
RABGEF1,ONC,cancermine
RABL3,ONC,cancermine
RAC2,ONC,cancermine
RAD17,TSG,cancermine
RAP1B,ONC,cancermine
RAP2B,ONC,cancermine
RASGRF1,ONC,cancermine
RASGRP2,ONC,cancermine
RB1CC1,TSG,cancermine
RBBP8,TSG,cancermine
RBM8A,ONC,cancermine
RBP1,TSG,cancermine
RBP2,ONC,cancermine
RCC1,TSG,cancermine
RDH10,ONC,cancermine
RFC5,ONC,cancermine
RGMB,ONC,cancermine
RGR,ONC,cancermine
RHCG,TSG,cancermine
RINT1,ONC,cancermine
RNF111,TSG,cancermine
RNF128,TSG,cancermine
RNF187,ONC,cancermine
ROCK2,ONC,cancermine
RPGRIP1L,TSG,cancermine
RPL23,ONC,cancermine
RPL39,ONC,cancermine
RPS7,TSG,cancermine
RRM2B,ONC,cancermine
RTL1,ONC,cancermine
SAMD9,TSG,cancermine
SAV1,TSG,cancermine
SBSN,ONC,cancermine
SCARA5,TSG,cancermine
SCGB3A1,TSG,cancermine
SCUBE2,TSG,cancermine
SDHD,TSG,cancermine
SEC63,TSG,cancermine
SEL1L,TSG,cancermine
SEMA4D,ONC,cancermine
SEMA6D,ONC,cancermine
SENP1,ONC,cancermine
SERPIND1,ONC,cancermine
SERPINE2,ONC,cancermine
SERPINF1,TSG,cancermine
SFPQ,ONC,cancermine
SFRP4,TSG,cancermine
SHCBP1,ONC,cancermine
SIAH1,TSG,cancermine
SLC16A3,ONC,cancermine
SLC17A7,TSG,cancermine
SLC39A6,ONC,cancermine
SLC9A1,TSG,cancermine
SMAD7,ONC,cancermine
SMARCA5,ONC,cancermine
SMG1,TSG,cancermine
SMUG1,ONC,cancermine
SNX10,TSG,cancermine
SOS1,ONC,cancermine
SP7,TSG,cancermine
SPINK1,ONC,cancermine
SPINK7,TSG,cancermine
SPON2,ONC,cancermine
SRSF2,ONC,cancermine
SRSF6,ONC,cancermine
SSTR2,TSG,cancermine
ST13,TSG,cancermine
ST7,TSG,cancermine
STAT6,ONC,cancermine
STC1,ONC,cancermine
STK17B,TSG,cancermine
STK24,ONC,cancermine
SUV39H2,ONC,cancermine
SYCP3,ONC,cancermine
SYNM,TSG,cancermine
SYT7,ONC,cancermine
TACR1,TSG,cancermine
TBC1D24,ONC,cancermine
TBRG1,TSG,cancermine
TC2N,ONC,cancermine
TCEA3,TSG,cancermine
TCEAL7,TSG,cancermine
TCL1B,ONC,cancermine
TCP10L,TSG,cancermine
TELO2,ONC,cancermine
TFF2,TSG,cancermine
TFRC,ONC,cancermine
TGFBR1,ONC,cancermine
TGFBR2,TSG,cancermine
TGM2,ONC,cancermine
THPO,ONC,cancermine
TIA1,ONC,cancermine
TIMELESS,ONC,cancermine
TM9SF2,ONC,cancermine
TMED2,ONC,cancermine
TMEM106B,ONC,cancermine
TMEM158,ONC,cancermine
TMEM45A,ONC,cancermine
TMEM45B,ONC,cancermine
TMEM71,ONC,cancermine
TMEM74,ONC,cancermine
TMEM8B,TSG,cancermine
TMPRSS11A,TSG,cancermine
TNFAIP1,TSG,cancermine
TNFAIP8L3,ONC,cancermine
TNFRSF11B,ONC,cancermine
TNFRSF12A,TSG,cancermine
TNFRSF13B,ONC,cancermine
TNFRSF19,ONC,cancermine
TOM1L1,ONC,cancermine
TOP2A,ONC,cancermine
TOP3A,ONC,cancermine
TOX,ONC,cancermine
TPO,ONC,cancermine
TPPP3,ONC,cancermine
TRADD,ONC,cancermine
TREH,ONC,cancermine
TRIM21,TSG,cancermine
TRIM35,TSG,cancermine
TRIM63,ONC,cancermine
TRIM65,ONC,cancermine
TSPAN1,ONC,cancermine
TSPO,ONC,cancermine
TTBK2,ONC,cancermine
TTK,ONC,cancermine
TUSC1,TSG,cancermine
TXNRD2,ONC,cancermine
TYK2,ONC,cancermine
U2AF1,ONC,cancermine
UBD,ONC,cancermine
UBE2QL1,TSG,cancermine
UBE2T,ONC,cancermine
UBE4B,ONC,cancermine
UFC1,ONC,cancermine
USF2,TSG,cancermine
USP17L2,TSG,cancermine
USP21,ONC,cancermine
USP5,ONC,cancermine
USP54,ONC,cancermine
VASH2,ONC,cancermine
VASP,ONC,cancermine
VENTX,TSG,cancermine
VOPP1,ONC,cancermine
VPS33B,TSG,cancermine
WASF3,TSG,cancermine
WASL,ONC,cancermine
WDR11,TSG,cancermine
WDR54,ONC,cancermine
WIPF1,ONC,cancermine
WNT2,ONC,cancermine
WNT2B,ONC,cancermine
WNT6,ONC,cancermine
WNT7B,ONC,cancermine
WWC1,TSG,cancermine
WWTR1,ONC,cancermine
XPC,TSG,cancermine
XRCC1,TSG,cancermine
XRCC5,TSG,cancermine
YPEL3,TSG,cancermine
ZBTB2,ONC,cancermine
ZDHHC5,ONC,cancermine
ZFP36L1,TSG,cancermine
ZIC5,ONC,cancermine
ZMIZ1,ONC,cancermine
ZNF143,ONC,cancermine
ZNF366,TSG,cancermine
ZNF667,ONC,cancermine
ZNF668,TSG,cancermine
ABCC4,ONC,cancermine
ABI3,TSG,cancermine
ABLIM1,TSG,cancermine
ACADL,TSG,cancermine
ACADM,ONC,cancermine
ACE2,TSG,cancermine
ACHE,TSG,cancermine
ACIN1,ONC,cancermine
ACLY,ONC,cancermine
ACOT7,TSG,cancermine
ACP1,ONC,cancermine
ACRBP,ONC,cancermine
ACSL5,TSG,cancermine
ACSM3,TSG,cancermine
ACTA1,TSG,cancermine
ACTN4,ONC,cancermine
ACVR1C,TSG,cancermine
ACVRL1,ONC,cancermine
ADAM11,TSG,cancermine
ADAM12,ONC,cancermine
ADAM19,TSG,cancermine
ADAM23,TSG,cancermine
ADAM33,TSG,cancermine
ADAMTS12,TSG,cancermine
ADAMTS8,TSG,cancermine
ADARB2,TSG,cancermine
ADAT2,TSG,cancermine
ADCY9,ONC,cancermine
ADD2,ONC,cancermine
ADGB,ONC,cancermine
ADHFE1,ONC,cancermine
ADORA1,TSG,cancermine
ADPRH,TSG,cancermine
AEBP1,ONC,cancermine
AFAP1L2,ONC,cancermine
AFF3,ONC,cancermine
AGFG1,TSG,cancermine
AGPS,ONC,cancermine
AGTR1,TSG,cancermine
AHNAK2,ONC,cancermine
AIRE,ONC,cancermine
AKR1B10,ONC,cancermine
AKR7A3,TSG,cancermine
ALCAM,ONC,cancermine
ALG1,ONC,cancermine
ALG2,TSG,cancermine
ALKBH3,TSG,cancermine
ALPP,ONC,cancermine
ALX4,TSG,cancermine
ALYREF,ONC,cancermine
AMBN,TSG,cancermine
AMH,TSG,cancermine
ANAPC11,ONC,cancermine
ANGPT1,TSG,cancermine
ANGPTL1,TSG,cancermine
ANKDD1A,TSG,cancermine
ANKH,ONC,cancermine
ANKHD1,ONC,cancermine
ANKRD11,TSG,cancermine
ANKRD18A,ONC,cancermine
ANKRD36B,TSG,cancermine
ANKRD49,ONC,cancermine
ANLN,ONC,cancermine
ANP32B,ONC,cancermine
ANP32D,ONC,cancermine
ANPEP,ONC,cancermine
ANXA11,ONC,cancermine
ANXA3,ONC,cancermine
ANXA9,TSG,cancermine
APOA1,ONC,cancermine
