target,role,tag
CUL4A,ONC,cancermine
DAB2,TSG,cancermine
EYA4,TSG,cancermine
FLT3,ONC,cancermine
KDM4C,ONC,cancermine
MAP3K8,ONC,cancermine
MEIS1,ONC,cancermine
PRAM1,ONC,cancermine
PTPN6,TSG,cancermine
SALL4,ONC,cancermine
TNS4,ONC,cancermine
TRIM24,ONC,cancermine
VAV1,ONC,cancermine
ANXA7,TSG,cancermine
ARTN,ONC,cancermine
FBXO31,TSG,cancermine
HSP90AA1,ONC,cancermine
KANK1,TSG,cancermine
KITLG,ONC,cancermine
MALT1,ONC,cancermine
RHOBTB2,TSG,cancermine
RRAS,ONC,cancermine
RUNX2,ONC,cancermine
TTF1,ONC,cancermine
UHRF1,ONC,cancermine
ZNF217,ONC,cancermine
BCL11A,ONC,cancermine
BCL11B,TSG,cancermine
BIRC5,ONC,cancermine
BRF2,ONC,cancermine
CACNA2D3,TSG,cancermine
CD44,ONC,cancermine
DKK3,TSG,cancermine
GAB2,ONC,cancermine
GPRC5A,TSG,cancermine
HDAC6,ONC,cancermine
HOPX,TSG,cancermine
IGF1,ONC,cancermine
ING1,TSG,cancermine
KDM2B,ONC,cancermine
LRIG1,TSG,cancermine
MDM4,ONC,cancermine
MPL,ONC,cancermine
PDGFA,ONC,cancermine
PLCE1,ONC,cancermine
PXN,ONC,cancermine
RBL1,TSG,cancermine
SLC9A3R1,TSG,cancermine
SPRY2,TSG,cancermine
TFAP2A,TSG,cancermine
TFF3,ONC,cancermine
THY1,TSG,cancermine
TRAF6,ONC,cancermine
ZFHX3,TSG,cancermine
BEX1,TSG,cancermine
CDH2,ONC,cancermine
CEACAM1,TSG,cancermine
DICER1,TSG,cancermine
ECT2,ONC,cancermine
FGFR4,ONC,cancermine
FOXF1,TSG,cancermine
FOXQ1,ONC,cancermine
GATA3,TSG,cancermine
GFI1,ONC,cancermine
GNA11,ONC,cancermine
HSF1,ONC,cancermine
KDM2A,ONC,cancermine
MCC,TSG,cancermine
MOS,ONC,cancermine
MYBL2,ONC,cancermine
NGFR,TSG,cancermine
PRL,ONC,cancermine
PTP4A3,ONC,cancermine
RAC1,ONC,cancermine
RASSF10,TSG,cancermine
SEMA3B,TSG,cancermine
SFRP1,TSG,cancermine
SOX7,TSG,cancermine
TBX3,ONC,cancermine
TNF,ONC,cancermine
VAV3,ONC,cancermine
WIF1,TSG,cancermine
ALDH1A2,TSG,cancermine
CDC42,ONC,cancermine
CDK6,ONC,cancermine
EPHB2,TSG,cancermine
HK2,ONC,cancermine
ID1,ONC,cancermine
IGFBP2,ONC,cancermine
LETMD1,ONC,cancermine
MCTS1,ONC,cancermine
MELK,ONC,cancermine
MIF,ONC,cancermine
NDRG4,TSG,cancermine
OPCML,TSG,cancermine
SLC5A8,TSG,cancermine
SMO,ONC,cancermine
SNCG,ONC,cancermine
SOCS3,TSG,cancermine
SOD2,TSG,cancermine
SQSTM1,ONC,cancermine
SRSF1,ONC,cancermine
STARD13,TSG,cancermine
SULF1,TSG,cancermine
TFPI2,TSG,cancermine
TRIM11,ONC,cancermine
TRIM27,ONC,cancermine
USP22,ONC,cancermine
WTAP,ONC,cancermine
WWP1,ONC,cancermine
CHD1L,ONC,cancermine
CSF1,ONC,cancermine
CSF2,ONC,cancermine
DACT2,TSG,cancermine
DLEC1,TSG,cancermine
EPB41L3,TSG,cancermine
FOXR2,ONC,cancermine
GTPBP4,ONC,cancermine
HOXA1,ONC,cancermine
IL10,ONC,cancermine
ITCH,TSG,cancermine
KDM1A,ONC,cancermine
KISS1,TSG,cancermine
MECP2,ONC,cancermine
PAK1,ONC,cancermine
PBRM1,TSG,cancermine
PCDH10,TSG,cancermine
PCDH17,TSG,cancermine
PER2,TSG,cancermine
PIWIL1,ONC,cancermine
PRKCI,ONC,cancermine
PRMT5,ONC,cancermine
PRR11,ONC,cancermine
PSMD10,ONC,cancermine
PTPRJ,TSG,cancermine
PTPRK,TSG,cancermine
PTPRO,TSG,cancermine
RAB1A,ONC,cancermine
RAB22A,ONC,cancermine
RELB,ONC,cancermine
