"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","uc.1",82.6948388203961,-0.142725996686419,0.182241350431035,-0.783170209992657,0.43352716600845,0.577018551940825
"2","uc.2",3.53798780470678,2.98668279573715,1.0012522977755,2.98294725752212,0.00285487186489397,0.0111266611215968
"3","uc.3",3.51689946306591,2.98522518927291,1.0027041017809,2.97717460611844,0.00290918275602994,0.0111654192078014
"4","uc.4",1.55955691533873,1.75865170872319,1.00859060647769,1.74367250441183,0.0812162124930543,0.169611758687152
"5","uc.5",1.62541254172795,1.26063606017056,0.938941161929172,1.34261454421747,0.17939681840687,0.309643823551584
"6","uc.6",1.74583083136149,1.33345832769546,0.917330311415173,1.45362941908932,0.146049076026151,0.266698312743405
"7","uc.7",1.61574945823246,2.45625301105274,1.1197264797573,2.19361875909653,0.0282628286658695,0.0731736249020458
"8","uc.8",1.64201849083047,3.05317826440924,1.13011718337915,2.70164750108478,0.00689968687546564,0.0237470525211513
"9","uc.9",1.0511148184487,1.82646381262375,1.07128877805889,1.70492200612163,0.0882089715410136,0.180232385094611
"10","uc.10",1.32676959479371,2.12423024341166,1.05069080678283,2.02174629272333,0.0432025687617757,0.10545508674441
"11","uc.12",701.845535019415,0.111262631563691,0.177339976071343,0.627397352974327,0.530398802441306,0.656107268664692
"12","uc.13",32.7870035236484,-0.543935763675905,0.365506478927393,-1.48816996424284,0.136706076151041,0.252072667244358
"13","uc.14",0.758663690628967,0.728935643643324,1.07103007338785,0.68059306807098,0.496129014350341,0.635617391979034
"14","uc.15",4.52744249348728,-0.475367019291222,0.695794711605651,-0.683200103941925,0.494480406980636,0.635617391979034
"15","uc.16",0.481883564290969,0.0569697499259485,1.34406943923932,0.0423860168699251,0.96619097525341,0.979142596905601
"16","uc.17",1.3687357443831,-1.0988431756991,1.06809596990674,-1.02878693175394,0.303579808964001,0.460790441691992
"17","uc.18",366.09766630217,0.0192852307634813,0.672913537667937,0.0286592997226904,0.977136317139141,0.987586972937421
"18","uc.19",23.8355382440034,-0.585363876022315,0.756335524409164,-0.773947351579963,0.4389619260907,0.582202133551876
"19","uc.20",23.2117986637713,-0.532516339953104,0.796816669627232,-0.668304718326522,0.503939102113574,0.64137703905364
"20","uc.21",4.80541345490338,-2.07941452325463,0.638840874388723,-3.2549803974962,0.00113400192664705,0.00543156175288368
"21","uc.22",150.186390663526,0.485006402103496,0.402451070820907,1.20513134954318,0.228152599202241,0.374963836949769
"22","uc.23",147.299196147258,0.726125073921951,0.257913423387044,2.81538302421846,0.00487191295515465,0.0180547362455731
"23","uc.24",123.885923565554,0.453850323384866,0.242714992864911,1.86988993975113,0.0614991031268943,0.138372982035512
"24","uc.25",118.168127773321,0.647328943501432,0.257418132385565,2.51469831399387,0.0119134279249996,0.0366119980134133
"25","uc.26",1.31930579300361,-0.664952825517759,1.04604717455346,-0.635681489031906,0.524984043970276,0.652776212568304
"26","uc.27",0.907942182855396,-1.78034365595254,1.06663969538316,-1.66911438197788,0.0950947135802166,0.190189427160433
"27","uc.28",305.016630420302,-0.39940374290785,0.250168871935098,-1.59653653077777,0.110369056491083,0.211459837274238
"28","uc.29",0.377410855790419,-0.191391635255346,1.4108827112268,-0.135653824185659,0.892094953139376,NA
"29","uc.30",0.149367055465021,-0.42795436758842,2.41190755563956,-0.177433984394538,0.859167515108731,NA
"30","uc.31",1.33232053859391,0.5088212107758,1.30382796931254,0.3902517991266,0.696350361856116,0.797637687217005
"31","uc.33",70.8611113379877,-1.24632509394007,0.336971802435139,-3.69860351796043,0.000216788932935084,0.00138891892626206
"32","uc.34",109.886685066876,-1.83162083732995,0.402233400185235,-4.55362691533439,5.27288355587655e-06,5.38689184897659e-05
"33","uc.35",18.0058437578416,2.81567471729373,2.36318554758147,1.19147424550533,0.233467461304394,0.380390949883883
"34","uc.36",114.106737353437,0.0385356077742337,0.233642292862137,0.164934213331711,0.86899576282289,0.931314510735734
"35","uc.37",438.438118882766,0.665391113370219,0.436221978654358,1.52534981254909,0.127171869530411,0.237975082586611
"36","uc.38",0.0720187126870171,0.01001673380585,5.17464343039227,0.00193573411203922,0.998455508602737,NA
"37","uc.39",0.185045088716781,0.201246735908226,3.51189277254575,0.0573043509418836,0.954302754500176,NA
"38","uc.40",25.9575926423565,1.83298442781062,1.1295949120834,1.62269182359355,0.104655300133167,0.202870274104293
"39","uc.41",0.255718489016649,0.644571085346167,1.79486427479174,0.35911968074631,0.719505559216069,NA
"40","uc.42",0.0847544419779935,0.0795805626446294,3.15529023350889,0.0252213130188441,0.979878437031799,NA
"41","uc.43",25.2170413753779,-1.14132955825877,0.359984975539336,-3.17049220331711,0.00152180916703111,0.00668888215276464
"42","uc.44",302.222171596077,-1.8703136296891,0.371202696897177,-5.03852381818005,4.69136046806354e-07,6.33333663188577e-06
"43","uc.45",1070.59116311485,0.0120908819801334,0.249823051932336,0.0483977834976101,0.961399225749417,0.976905664874408
"44","uc.46",3670.24838883712,0.157579999372981,0.189391659413009,0.832032412944566,0.405390649265325,0.553204568311527
"45","uc.283",0.0901936229722019,-1.10931621617574,3.14693827528571,-0.352506506049925,0.72445844009261,NA
"46","uc.284",0.253589767236818,-1.31472615313666,1.88394461541789,-0.697858176072248,0.485265892521373,NA
"47","uc.285",215.043197645261,-0.26721376900365,0.167310171612046,-1.59711610136447,0.110239829692557,0.211459837274238
"48","uc.286",0.648730976761336,-0.198549949899473,1.40689958911684,-0.141125885198467,0.88777049486558,0.934604480131043
