row,annot
uc.322,TUCR
uc.323,TUCR
uc.324,TUCR
uc.325,TUCR
uc.326,TUCR
uc.327,TUCR
uc.328,TUCR
uc.329,TUCR
uc.330,TUCR
uc.331,TUCR
uc.332,TUCR
uc.333,TUCR
uc.334,TUCR
uc.335,TUCR
uc.336,TUCR
uc.337,TUCR
uc.338,TUCR
uc.339,TUCR
uc.340,TUCR
uc.341,TUCR
uc.342,TUCR
uc.343,TUCR
uc.344,TUCR
uc.345,TUCR
uc.346,TUCR
uc.347,TUCR
uc.348,TUCR
uc.349,TUCR
uc.350,TUCR
uc.351,TUCR
uc.352,TUCR
uc.353,TUCR
uc.354,TUCR
uc.355,TUCR
uc.356,TUCR
uc.357,TUCR
uc.358,TUCR
uc.359,TUCR
uc.360,TUCR
uc.361,TUCR
uc.362,TUCR
uc.363,TUCR
uc.364,TUCR
uc.365,TUCR
uc.366,TUCR
uc.367,TUCR
uc.368,TUCR
uc.369,TUCR
uc.370,TUCR
uc.371,TUCR
uc.372,TUCR
uc.373,TUCR
uc.374,TUCR
uc.375,TUCR
uc.376,TUCR
uc.377,TUCR
uc.378,TUCR
uc.379,TUCR
uc.380,TUCR
uc.381,TUCR
uc.382,TUCR
uc.383,TUCR
uc.384,TUCR
uc.385,TUCR
uc.386,TUCR
uc.387,TUCR
uc.388,TUCR
uc.389,TUCR
uc.390,TUCR
uc.391,TUCR
uc.392,TUCR
uc.393,TUCR
uc.394,TUCR
uc.395,TUCR
uc.396,TUCR
uc.397,TUCR
uc.398,TUCR
uc.399,TUCR
uc.400,TUCR
uc.401,TUCR
uc.402,TUCR
uc.403,TUCR
uc.404,TUCR
uc.405,TUCR
uc.406,TUCR
uc.407,TUCR
uc.408,TUCR
uc.409,TUCR
uc.410,TUCR
uc.411,TUCR
uc.412,TUCR
uc.413,TUCR
uc.414,TUCR
uc.415,TUCR
uc.416,TUCR
uc.417,TUCR
uc.418,TUCR
uc.419,TUCR
uc.420,TUCR
uc.421,TUCR
uc.422,TUCR
uc.423,TUCR
uc.424,TUCR
uc.425,TUCR
uc.426,TUCR
uc.427,TUCR
uc.428,TUCR
uc.429,TUCR
uc.430,TUCR
uc.431,TUCR
uc.432,TUCR
uc.433,TUCR
uc.434,TUCR
uc.435,TUCR
uc.436,TUCR
uc.437,TUCR
uc.438,TUCR
uc.439,TUCR
uc.440,TUCR
uc.441,TUCR
uc.442,TUCR
uc.443,TUCR
