id,counts
tcga_analysis/readcounts/TCGA-12-5299-01A-02R-1849-01,129086990
tcga_analysis/readcounts/TCGA-14-0736-02A-01R-2005-01,65388582
tcga_analysis/readcounts/TCGA-14-0781-01B-01R-1849-01,139372342
tcga_analysis/readcounts/TCGA-14-0787-01A-01R-1849-01,70397846
tcga_analysis/readcounts/TCGA-14-0789-01A-01R-1849-01,90876147
tcga_analysis/readcounts/TCGA-14-0790-01B-01R-1849-01,77972776
tcga_analysis/readcounts/TCGA-14-0817-01A-01R-1849-01,111971331
tcga_analysis/readcounts/TCGA-14-0871-01A-01R-1849-01,21005413
tcga_analysis/readcounts/TCGA-14-1034-01A-01R-1849-01,83123395
tcga_analysis/readcounts/TCGA-14-1034-02B-01R-2005-01,75849443
tcga_analysis/readcounts/TCGA-14-1402-02A-01R-2005-01,95849129
tcga_analysis/readcounts/TCGA-14-1823-01A-01R-1849-01,90231091
tcga_analysis/readcounts/TCGA-14-1825-01A-01R-1850-01,32673189
tcga_analysis/readcounts/TCGA-14-1829-01A-01R-1850-01,100047204
tcga_analysis/readcounts/TCGA-14-2554-01A-01R-1850-01,124543777
tcga_analysis/readcounts/TCGA-15-0742-01A-01R-1850-01,105332570
tcga_analysis/readcounts/TCGA-15-1444-01A-02R-1850-01,137247406
tcga_analysis/readcounts/TCGA-16-0846-01A-01R-1850-01,105709795
tcga_analysis/readcounts/TCGA-16-1045-01B-01R-1850-01,91769085
tcga_analysis/readcounts/TCGA-19-0957-02A-11R-2005-01,111975955
tcga_analysis/readcounts/TCGA-19-1389-02A-21R-2005-01,106154661
tcga_analysis/readcounts/TCGA-19-1390-01A-01R-1850-01,137703254
tcga_analysis/readcounts/TCGA-19-1787-01B-01R-1850-01,130034745
tcga_analysis/readcounts/TCGA-19-2619-01A-01R-1850-01,136256136
tcga_analysis/readcounts/TCGA-19-2620-01A-01R-1850-01,70610297
tcga_analysis/readcounts/TCGA-19-2624-01A-01R-1850-01,145056260
tcga_analysis/readcounts/TCGA-19-2625-01A-01R-1850-01,131721993
tcga_analysis/readcounts/TCGA-19-2629-01A-01R-1850-01,130404696
tcga_analysis/readcounts/TCGA-19-4065-01A-01R-2005-01,134060662
tcga_analysis/readcounts/TCGA-19-4065-02A-11R-2005-01,103795508
tcga_analysis/readcounts/TCGA-19-5960-01A-11R-1850-01,127527030
tcga_analysis/readcounts/TCGA-26-1442-01A-01R-1850-01,140160045
tcga_analysis/readcounts/TCGA-26-5132-01A-01R-1850-01,114691951
