File Name,TUCR.Run.20190717 (CELLFRAC U44.U48.GAPDH.PPIA.62.110.210.427).pcrd,,,,,,
Created By User,admin,,,,,,
Notes,,,,,,,
ID,,,,,,,
Run Started,07/17/2019 21:06:12 UTC,,,,,,
Run Ended,07/17/2019 23:26:53 UTC,,,,,,
Sample Vol,20,,,,,,
Lid Temp,105,,,,,,
Protocol File Name,qPCR Protocol (TUCRs).prcl,,,,,,
Plate Setup File Name,RUN1.pltd,,,,,,
Base Serial Number,BR004664,,,,,,
Optical Head Serial Number,788BR04573,,,,,,
CFX Manager Version,3.1.1517.0823. ,,,,,,
,,,,,,,
Well group,All Wells,,,,,,
Amplification step,3,,,,,,
Melt step,7,,,,,,
,,,,,,,
,,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),End RFU
H01,SYBR,uc.62,Unkn,U251 CF,35.23531817,NaN,1599.685297
H02,SYBR,uc.62,Unkn,U251 CF,35.34396683,NaN,683.0616652
H03,SYBR,uc.62,Unkn,U251 CF,33.59477472,NaN,757.7733899
C10,SYBR,GAPDH,Unkn,U251 NF,23.67674417,NaN,2723.363624
C11,SYBR,GAPDH,Unkn,U251 NF,22.00158455,NaN,2736.507567
C12,SYBR,GAPDH,Unkn,U251 NF,19.80390542,NaN,2673.97241
C07,SYBR,PPIA,Unkn,U251 NF,21.37442964,NaN,2846.312418
C08,SYBR,PPIA,Unkn,U251 NF,19.51356303,NaN,2759.789541
C09,SYBR,PPIA,Unkn,U251 NF,18.34978743,NaN,2745.955967
C01,SYBR,U44,Unkn,U251 NF,24.69951555,NaN,2101.141951
C02,SYBR,U44,Unkn,U251 NF,25.67732417,NaN,1992.671949
C03,SYBR,U44,Unkn,U251 NF,32.7792761,NaN,2080.711934
C04,SYBR,U48,Unkn,U251 NF,24.18267974,NaN,2362.759079
C05,SYBR,U48,Unkn,U251 NF,24.00733902,NaN,2375.13207
C06,SYBR,U48,Unkn,U251 NF,24.39247131,NaN,2340.796138
G04,SYBR,uc.110,Unkn,U251 NF,25.25120146,NaN,-1.095925423
G05,SYBR,uc.110,Unkn,U251 NF,25.71811858,NaN,-1.098398665
G06,SYBR,uc.110,Unkn,U251 NF,25.39345929,NaN,-1.152258697
G07,SYBR,uc.210,Unkn,U251 NF,22.1588137,NaN,2950.317401
G08,SYBR,uc.210,Unkn,U251 NF,22.05354623,NaN,2966.961886
G09,SYBR,uc.210,Unkn,U251 NF,22.23396634,NaN,2806.860323
G10,SYBR,uc.427,Unkn,U251 NF,27.54077921,NaN,2916.471655
G11,SYBR,uc.427,Unkn,U251 NF,27.9396497,NaN,2850.608448
G12,SYBR,uc.427,Unkn,U251 NF,27.46504339,NaN,2758.50488
G01,SYBR,uc.62,Unkn,U251 NF,29.86250812,NaN,1844.981745
G02,SYBR,uc.62,Unkn,U251 NF,32.68053665,NaN,2145.062219
G03,SYBR,uc.62,Unkn,U251 NF,28.66614838,NaN,1490.336741
B10,SYBR,GAPDH,Unkn,U87 CF,16.41232196,NaN,2475.272874
B11,SYBR,GAPDH,Unkn,U87 CF,16.79909829,NaN,2456.75896
B12,SYBR,GAPDH,Unkn,U87 CF,16.94115016,NaN,2131.723568
B07,SYBR,PPIA,Unkn,U87 CF,14.30545398,NaN,2379.63506
B08,SYBR,PPIA,Unkn,U87 CF,15.04940263,NaN,2383.565036
B09,SYBR,PPIA,Unkn,U87 CF,14.42713889,NaN,2347.299703
B01,SYBR,U44,Unkn,U87 CF,27.82816543,NaN,1620.916393
B02,SYBR,U44,Unkn,U87 CF,27.69790918,NaN,1668.93731
B03,SYBR,U44,Unkn,U87 CF,27.33586283,NaN,1680.667743
B04,SYBR,U48,Unkn,U87 CF,25.02330273,NaN,1836.754241
B05,SYBR,U48,Unkn,U87 CF,25.19261358,NaN,1730.176958
B06,SYBR,U48,Unkn,U87 CF,25.47873427,NaN,1814.870751
F04,SYBR,uc.110,Unkn,U87 CF,31.61191192,NaN,2192.369272
F05,SYBR,uc.110,Unkn,U87 CF,31.87833537,NaN,2145.136177
F06,SYBR,uc.110,Unkn,U87 CF,31.65367042,NaN,2193.152997
F07,SYBR,uc.210,Unkn,U87 CF,28.4354819,NaN,2634.538938
F08,SYBR,uc.210,Unkn,U87 CF,28.40191552,NaN,2502.32226
F09,SYBR,uc.210,Unkn,U87 CF,28.33998724,NaN,2279.775565
F10,SYBR,uc.427,Unkn,U87 CF,31.56472097,NaN,2241.132579
F11,SYBR,uc.427,Unkn,U87 CF,32.72530458,NaN,1794.829635
F12,SYBR,uc.427,Unkn,U87 CF,31.80736288,NaN,1867.488112
F01,SYBR,uc.62,Unkn,U87 CF,34.60821098,NaN,1067.081529
F02,SYBR,uc.62,Unkn,U87 CF,33.66233845,NaN,1247.401844
F03,SYBR,uc.62,Unkn,U87 CF,33.5534835,NaN,1289.396816
A10,SYBR,GAPDH,Unkn,U87 NF,16.822238,NaN,2312.45912
A11,SYBR,GAPDH,Unkn,U87 NF,17.70528742,NaN,1510.494696
