File Name,TUCR.Run.20190722 (CELLFRAC U44.U48.GAPDH.PPIA.62.110.210.427) (A172.U251).pcrd,,,,,,
Created By User,admin,,,,,,
Notes,,,,,,,
ID,,,,,,,
Run Started,07/22/2019 20:05:35 UTC,,,,,,
Run Ended,07/22/2019 22:26:44 UTC,,,,,,
Sample Vol,20,,,,,,
Lid Temp,105,,,,,,
Protocol File Name,qPCR Protocol (TUCRs).prcl,,,,,,
Plate Setup File Name,RUN1.pltd,,,,,,
Base Serial Number,BR004664,,,,,,
Optical Head Serial Number,788BR04573,,,,,,
CFX Manager Version,3.1.1517.0823. ,,,,,,
,,,,,,,
Well group,All Wells,,,,,,
Amplification step,3,,,,,,
Melt step,7,,,,,,
,,,,,,,
,,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),End RFU
E08,SYBR,uc.210,Unkn,A172 NF,24.0703327008554,NaN,3541.75422941642
E09,SYBR,uc.210,Unkn,A172 NF,24.1233656953408,NaN,3490.39935445844
E10,SYBR,uc.427,Unkn,A172 NF,29.426391636556,NaN,3851.38313765087
E11,SYBR,uc.427,Unkn,A172 NF,29.3655757783966,NaN,4043.88999435299
E12,SYBR,uc.427,Unkn,A172 NF,29.3576109110301,NaN,4081.58207929339
F01,SYBR,uc.62,Unkn,A172 CF,28.9321216146438,NaN,2537.7160654608
F02,SYBR,uc.62,Unkn,A172 CF,29.0654156756799,NaN,3239.33104084722
F03,SYBR,uc.62,Unkn,A172 CF,29.0336697384159,NaN,3397.32555086919
F04,SYBR,uc.110,Unkn,A172 CF,27.8913249816493,NaN,3580.17407928316
F05,SYBR,uc.110,Unkn,A172 CF,27.9315899473631,NaN,3502.17904624316
F06,SYBR,uc.110,Unkn,A172 CF,27.8667481041515,NaN,3540.0971451371
F07,SYBR,uc.210,Unkn,A172 CF,23.0750262230557,NaN,3527.93240155185
F08,SYBR,uc.210,Unkn,A172 CF,23.0962306643061,NaN,3600.06352174667
F09,SYBR,uc.210,Unkn,A172 CF,23.1468541598524,NaN,3366.77645445446
F10,SYBR,uc.427,Unkn,A172 CF,29.2832930374354,NaN,4037.38487312192
F11,SYBR,uc.427,Unkn,A172 CF,29.4096680840528,NaN,4056.94056467895
F12,SYBR,uc.427,Unkn,A172 CF,29.4542598507374,NaN,3972.4766604527
G01,SYBR,uc.62,Unkn,U251 NF,28.9845291769076,NaN,3072.84626421951
G02,SYBR,uc.62,Unkn,U251 NF,28.9150523357166,NaN,3290.24413357325
G03,SYBR,uc.62,Unkn,U251 NF,28.6996520529326,NaN,3243.16793480069
G04,SYBR,uc.110,Unkn,U251 NF,26.8066083818909,NaN,3536.30287368914
G05,SYBR,uc.110,Unkn,U251 NF,26.8602467019779,NaN,3638.83895096927
G06,SYBR,uc.110,Unkn,U251 NF,26.7639513433627,NaN,3697.81884827308
G07,SYBR,uc.210,Unkn,U251 NF,22.8750849729355,NaN,3646.22648001229
G08,SYBR,uc.210,Unkn,U251 NF,22.6033513674502,NaN,3619.66361440397
G09,SYBR,uc.210,Unkn,U251 NF,22.8539233664005,NaN,3397.2252058623
G10,SYBR,uc.427,Unkn,U251 NF,29.5719462643959,NaN,4135.56456289342
G11,SYBR,uc.427,Unkn,U251 NF,29.5992231407061,NaN,3555.80378994776
G12,SYBR,uc.427,Unkn,U251 NF,29.828505463786,NaN,3897.99763855035
H01,SYBR,uc.62,Unkn,U251 CF,30.6782464922861,NaN,3045.31821361695
H02,SYBR,uc.62,Unkn,U251 CF,31.2067794007479,NaN,3077.49776611301
H03,SYBR,uc.62,Unkn,U251 CF,31.522485940052,NaN,3241.48800054025
H04,SYBR,uc.110,Unkn,U251 CF,29.2640575200594,NaN,3547.94299824655
H05,SYBR,uc.110,Unkn,U251 CF,29.3408255097375,NaN,3383.48749699656
H06,SYBR,uc.110,Unkn,U251 CF,29.4128506558783,NaN,3386.08943900999
H07,SYBR,uc.210,Unkn,U251 CF,28.860811791014,NaN,3432.37345346571
H08,SYBR,uc.210,Unkn,U251 CF,28.9857548812678,NaN,3394.61815605711
H09,SYBR,uc.210,Unkn,U251 CF,28.997067051536,NaN,3314.61449991088
H10,SYBR,uc.427,Unkn,U251 CF,35.7847314469045,NaN,1778.00354910719
H11,SYBR,uc.427,Unkn,U251 CF,36.3481346631442,NaN,1543.42040212473
H12,SYBR,uc.427,Unkn,U251 CF,36.4073637634676,NaN,1508.5867525358
