"","Term","Ont","N","DE","P.DE"
"GO:0090304","nucleic acid metabolic process","BP",5735,1577,1.7056075137596e-167
"GO:0006139","nucleobase-containing compound metabolic process","BP",6411,1688,3.40604488294881e-162
"GO:0046483","heterocycle metabolic process","BP",6570,1705,4.41875543616498e-157
"GO:0006725","cellular aromatic compound metabolic process","BP",6615,1712,1.15461475415441e-156
"GO:0019219","regulation of nucleobase-containing compound metabolic process","BP",4140,1232,7.86859414340562e-149
"GO:1901360","organic cyclic compound metabolic process","BP",6839,1730,3.13311950729277e-147
"GO:0034641","cellular nitrogen compound metabolic process","BP",7161,1768,1.11967255385686e-139
"GO:0016070","RNA metabolic process","BP",5206,1412,8.40124005112223e-137
"GO:0051252","regulation of RNA metabolic process","BP",3822,1133,3.54810205421973e-132
"GO:0044260","cellular macromolecule metabolic process","BP",8352,1944,2.85111660251256e-130
"GO:2000112","regulation of cellular macromolecule biosynthetic process","BP",3998,1157,5.57210476737475e-127
