"","Term","Ont","N","DE","P.DE"
"GO:0034641","cellular nitrogen compound metabolic process","BP",7161,169,0.0000000000000329684993175348
"GO:0006139","nucleobase-containing compound metabolic process","BP",6411,156,0.0000000000000760262385943384
"GO:0046483","heterocycle metabolic process","BP",6570,156,0.000000000000713018939507821
"GO:0006725","cellular aromatic compound metabolic process","BP",6615,156,0.00000000000131633396166432
"GO:0044271","cellular nitrogen compound biosynthetic process","BP",5029,128,0.00000000000439240628191659
