"","Term","Ont","N","DE","P.DE"
"GO:0034641","cellular nitrogen compound metabolic process","BP",7161,1234,2.31365902093351e-101
"GO:0006139","nucleobase-containing compound metabolic process","BP",6411,1122,9.84347646158129e-92
"GO:0046483","heterocycle metabolic process","BP",6570,1137,4.23760402309489e-90
"GO:0090304","nucleic acid metabolic process","BP",5735,1033,4.19818718570524e-89
"GO:0006725","cellular aromatic compound metabolic process","BP",6615,1137,5.84811744287833e-88
"GO:0044271","cellular nitrogen compound biosynthetic process","BP",5029,934,5.15535646785412e-85
"GO:1901360","organic cyclic compound metabolic process","BP",6839,1156,5.21518185460792e-85
"GO:0009059","macromolecule biosynthetic process","BP",5114,932,6.99951533911014e-80
"GO:0034645","cellular macromolecule biosynthetic process","BP",4961,911,2.72702521698414e-79
