"","Term","Ont","N","DE","P.DE"
"GO:0071840","cellular component organization or biogenesis","BP",6697,414,0.000000000000000000235197445991285
"GO:0009059","macromolecule biosynthetic process","BP",5114,337,0.000000000000000000514688505457609
"GO:0044260","cellular macromolecule metabolic process","BP",8352,487,0.00000000000000000091042676910806
"GO:0034645","cellular macromolecule biosynthetic process","BP",4961,327,0.00000000000000000254835075447393
"GO:0016043","cellular component organization","BP",6512,401,0.00000000000000000355596949667166
"GO:0044271","cellular nitrogen compound biosynthetic process","BP",5029,329,0.00000000000000000609074544126852
"GO:0072359","circulatory system development","BP",1169,112,0.000000000000000851604117018827
"GO:0034641","cellular nitrogen compound metabolic process","BP",7161,420,0.00000000000000221070664161299
"GO:1901576","organic substance biosynthetic process","BP",6259,378,0.00000000000000252556311474098
"GO:0009058","biosynthetic process","BP",6339,380,0.00000000000000670883873474697
