"","Term","Ont","N","DE","P.DE"
"GO:0090304","nucleic acid metabolic process","BP",5735,1884,3.06301714610651e-122
"GO:0006139","nucleobase-containing compound metabolic process","BP",6411,2039,4.62445456952148e-119
"GO:0019219","regulation of nucleobase-containing compound metabolic process","BP",4140,1464,3.41674155110248e-116
"GO:0006725","cellular aromatic compound metabolic process","BP",6615,2070,6.51714521575239e-113
"GO:0046483","heterocycle metabolic process","BP",6570,2059,8.40427075089185e-113
"GO:0044260","cellular macromolecule metabolic process","BP",8352,2469,2.38333328470375e-112
"GO:1901360","organic cyclic compound metabolic process","BP",6839,2102,7.25108508624095e-106
