"","Term","Ont","N","DE","P.DE"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","BP",427,108,4.4304431838495e-74
"GO:0007608","sensory perception of smell","BP",454,108,4.77266202302027e-71
"GO:0050907","detection of chemical stimulus involved in sensory perception","BP",477,108,1.22687281923882e-68
"GO:0009593","detection of chemical stimulus","BP",512,108,3.09328057332622e-65
"GO:0007606","sensory perception of chemical stimulus","BP",526,108,5.89808618100558e-64
"GO:0050906","detection of stimulus involved in sensory perception","BP",531,108,1.65078689890426e-63
"GO:0051606","detection of stimulus","BP",691,109,2.18204972933679e-52
"GO:0007600","sensory perception","BP",977,112,7.5495376441674e-40
"GO:0050877","nervous system process","BP",1437,122,0.00000000000000000000000000000163831271078013
"GO:0007186","G protein-coupled receptor signaling pathway","BP",1371,115,0.000000000000000000000000000330225174137056
"GO:0003008","system process","BP",2216,132,0.00000000000000000113456670366822
"GO:0031424","keratinization","BP",224,33,0.00000000000000236694379849449
