"","Term","Ont","N","DE","P.DE"
"GO:0045321","leukocyte activation","BP",1284,426,1.16184606554456e-57
"GO:0006955","immune response","BP",2279,640,3.98517831938436e-57
"GO:0001775","cell activation","BP",1440,456,2.9503444365865e-55
"GO:0002376","immune system process","BP",3193,813,4.42807874147553e-54
"GO:0002274","myeloid leukocyte activation","BP",651,260,1.55656263252039e-51
"GO:0002252","immune effector process","BP",1265,402,7.4566062329499e-49
"GO:0002366","leukocyte activation involved in immune response","BP",707,269,1.66959367651114e-48
"GO:0002263","cell activation involved in immune response","BP",711,269,5.88892290434537e-48
"GO:0002275","myeloid cell activation involved in immune response","BP",544,216,2.37996293192828e-42
"GO:0043299","leukocyte degranulation","BP",534,213,3.93071452224484e-42
"GO:0036230","granulocyte activation","BP",504,205,4.38403270937239e-42
"GO:0042119","neutrophil activation","BP",498,203,7.56787519432873e-42
"GO:0002444","myeloid leukocyte mediated immunity","BP",551,216,2.53813230059573e-41
"GO:0002283","neutrophil activation involved in immune response","BP",488,198,1.77439115211211e-40
"GO:0002446","neutrophil mediated immunity","BP",499,199,2.2204262561197e-39
"GO:0043312","neutrophil degranulation","BP",485,195,3.36792378361084e-39
