"","Term","Ont","N","DE","P.DE"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","BP",427,35,2.87472923165683e-42
"GO:0007608","sensory perception of smell","BP",454,35,2.58273135251404e-41
"GO:0050907","detection of chemical stimulus involved in sensory perception","BP",477,35,1.50691606384844e-40
"GO:0009593","detection of chemical stimulus","BP",512,35,1.86991458080718e-39
"GO:0007606","sensory perception of chemical stimulus","BP",526,35,4.86803683962179e-39
"GO:0050906","detection of stimulus involved in sensory perception","BP",531,35,6.80664191240402e-39
"GO:0051606","detection of stimulus","BP",691,35,7.16241186600111e-35
"GO:0007600","sensory perception","BP",977,35,0.000000000000000000000000000011333864854972
"GO:0007186","G protein-coupled receptor signaling pathway","BP",1371,35,0.00000000000000000000000107828835603356
"GO:0050877","nervous system process","BP",1437,35,0.00000000000000000000000517596031837249
"GO:0003008","system process","BP",2216,35,0.00000000000000000712847829482374
"GO:0032501","multicellular organismal process","BP",7751,52,0.00000000000130874674017255
"GO:0042221","response to chemical","BP",4797,37,0.0000000035194727824554
