"","Term","Ont","N","DE","P.DE"
"GO:0032446","protein modification by small protein conjugation","BP",906,26,0.0000124382790480692
"GO:0008104","protein localization","BP",2765,55,0.0000146160865794625
"GO:0016567","protein ubiquitination","BP",822,24,0.0000207645348094503
"GO:0046471","phosphatidylglycerol metabolic process","BP",31,5,0.0000233381972560786
"GO:0033036","macromolecule localization","BP",3116,59,0.0000287390690008936
"GO:0032049","cardiolipin biosynthetic process","BP",7,3,0.0000478914110183925
"GO:0051179","localization","BP",6735,104,0.0000733964163444985
"GO:0006655","phosphatidylglycerol biosynthetic process","BP",8,3,0.0000759879550925872
