"","Term","Ont","N","DE","P.DE"
"GO:0034641","cellular nitrogen compound metabolic process","BP",7161,297,0.00000000000000000000276974213854129
"GO:0034470","ncRNA processing","BP",384,47,0.00000000000000000212033198187028
"GO:0006413","translational initiation","BP",193,33,0.0000000000000000130243979644255
"GO:0034660","ncRNA metabolic process","BP",562,56,0.0000000000000000149918315656746
"GO:0090304","nucleic acid metabolic process","BP",5735,244,0.0000000000000000187811231728989
"GO:0006139","nucleobase-containing compound metabolic process","BP",6411,262,0.0000000000000000909809844435265
"GO:0000956","nuclear-transcribed mRNA catabolic process","BP",207,33,0.00000000000000011443719687716
"GO:0046483","heterocycle metabolic process","BP",6570,266,0.000000000000000146178213561303
"GO:0044237","cellular metabolic process","BP",11301,392,0.000000000000000263601201479979
"GO:1901360","organic cyclic compound metabolic process","BP",6839,272,0.000000000000000533577997405746
