"","Term","Ont","N","DE","P.DE"
"GO:0007399","nervous system development","BP",2375,328,0.00000000000000000000000000000107738195760636
"GO:0022008","neurogenesis","BP",1623,241,0.0000000000000000000000000134960827007462
"GO:0048699","generation of neurons","BP",1524,224,0.00000000000000000000000455480058047804
"GO:0030030","cell projection organization","BP",1534,223,0.000000000000000000000025415795285585
"GO:0030182","neuron differentiation","BP",1365,204,0.0000000000000000000000881662179606916
"GO:0031175","neuron projection development","BP",978,162,0.000000000000000000000106439467489719
"GO:0120036","plasma membrane bounded cell projection organization","BP",1497,217,0.000000000000000000000159315879225751
"GO:0048666","neuron development","BP",1110,174,0.00000000000000000000113438312431701
