"","Term","Ont","N","DE","P.DE"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","BP",427,255,2.36650253798376e-274
"GO:0007608","sensory perception of smell","BP",454,256,3.10361040472309e-266
"GO:0050907","detection of chemical stimulus involved in sensory perception","BP",477,259,1.26232898883868e-263
"GO:0009593","detection of chemical stimulus","BP",512,260,2.37748229631229e-254
"GO:0007606","sensory perception of chemical stimulus","BP",526,260,2.88922382132707e-250
"GO:0050906","detection of stimulus involved in sensory perception","BP",531,260,7.59745540872352e-249
"GO:0051606","detection of stimulus","BP",691,262,2.26910089609182e-214
"GO:0007600","sensory perception","BP",977,269,3.76540703338197e-178
"GO:0007186","G protein-coupled receptor signaling pathway","BP",1371,273,4.51624321572058e-141
"GO:0050877","nervous system process","BP",1437,273,1.58313112681935e-135
"GO:0003008","system process","BP",2216,285,5.10761059428661e-97
"GO:0031424","keratinization","BP",224,74,2.81743568497713e-52
"GO:0032501","multicellular organismal process","BP",7751,462,4.28357794981321e-52
"GO:0030216","keratinocyte differentiation","BP",305,78,8.60927727758492e-46
