"","Term","Ont","N","DE","P.DE"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","BP",427,139,7.83013939457251e-152
"GO:0007608","sensory perception of smell","BP",454,139,1.69115157904596e-147
"GO:0050907","detection of chemical stimulus involved in sensory perception","BP",477,140,1.06206090164996e-145
"GO:0009593","detection of chemical stimulus","BP",512,140,8.78216535796347e-141
"GO:0050906","detection of stimulus involved in sensory perception","BP",531,141,7.14893921950006e-140
"GO:0007606","sensory perception of chemical stimulus","BP",526,140,6.2724317719587e-139
"GO:0051606","detection of stimulus","BP",691,141,3.73474632783442e-122
"GO:0007600","sensory perception","BP",977,142,2.72879686537581e-101
"GO:0007186","G protein-coupled receptor signaling pathway","BP",1371,141,1.61317330791335e-79
"GO:0050877","nervous system process","BP",1437,143,7.09096389480114e-79
"GO:0003008","system process","BP",2216,145,8.81793997092449e-56
"GO:0032501","multicellular organismal process","BP",7751,231,3.73444715752385e-35
"GO:0031424","keratinization","BP",224,43,0.000000000000000000000000000000000391075318576396
