"","Term","Ont","N","DE","P.DE"
"GO:0016579","protein deubiquitination","BP",283,6,0.0000628374305870853
"GO:0070646","protein modification by small protein removal","BP",299,6,0.0000851063821965077
"GO:0006511","ubiquitin-dependent protein catabolic process","BP",620,8,0.000117518965206304
"GO:0019941","modification-dependent protein catabolic process","BP",626,8,0.00012558882273668
"GO:0050832","defense response to fungus","BP",40,3,0.000126792234299928
"GO:0043632","modification-dependent macromolecule catabolic process","BP",637,8,0.000141577691363361
"GO:0022604","regulation of cell morphogenesis","BP",484,7,0.000163089088876264
"GO:0009620","response to fungus","BP",52,3,0.000277831753397778
"GO:0051603","proteolysis involved in cellular protein catabolic process","BP",716,8,0.000313297373289904
"GO:0072584","caveolin-mediated endocytosis","BP",11,2,0.000316551578816035
"GO:0051673","membrane disruption in other organism","BP",11,2,0.000316551578816035
