"","Term","Ont","N","DE","P.DE"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","BP",427,56,1.37634023658761e-57
"GO:0007608","sensory perception of smell","BP",454,56,4.83000281342494e-56
"GO:0050907","detection of chemical stimulus involved in sensory perception","BP",477,56,8.36304098341007e-55
"GO:0009593","detection of chemical stimulus","BP",512,56,4.8538585431695e-53
"GO:0007606","sensory perception of chemical stimulus","BP",526,56,2.26350892663971e-52
"GO:0050906","detection of stimulus involved in sensory perception","BP",531,56,3.88040123776307e-52
"GO:0051606","detection of stimulus","BP",691,57,4.90405069675474e-47
"GO:0007600","sensory perception","BP",977,57,1.15587633769153e-38
"GO:0007186","G protein-coupled receptor signaling pathway","BP",1371,57,0.000000000000000000000000000000885777465658022
"GO:0050877","nervous system process","BP",1437,57,0.0000000000000000000000000000103320208638598
"GO:0003008","system process","BP",2216,57,0.0000000000000000000283271272855224
"GO:0031424","keratinization","BP",224,19,0.000000000000000938465996953073
