"","Term","Ont","N","DE","P.DE"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","BP",427,231,2.07533499587833e-225
"GO:0007608","sensory perception of smell","BP",454,232,1.3297425579121e-218
"GO:0050907","detection of chemical stimulus involved in sensory perception","BP",477,234,4.27684789192974e-215
"GO:0009593","detection of chemical stimulus","BP",512,235,2.94120365820847e-207
"GO:0050906","detection of stimulus involved in sensory perception","BP",531,236,5.13864848873092e-204
"GO:0007606","sensory perception of chemical stimulus","BP",526,235,9.39260809746965e-204
"GO:0051606","detection of stimulus","BP",691,239,1.72443901747228e-175
"GO:0007600","sensory perception","BP",977,242,1.76391577521826e-139
"GO:0007186","G protein-coupled receptor signaling pathway","BP",1371,248,1.78467748101482e-109
"GO:0050877","nervous system process","BP",1437,245,5.2872308435019e-102
"GO:0003008","system process","BP",2216,257,1.59188822526189e-69
"GO:0031424","keratinization","BP",224,70,7.56107919501136e-46
"GO:0030216","keratinocyte differentiation","BP",305,75,6.59253906836727e-41
"GO:0032501","multicellular organismal process","BP",7751,455,1.06108708256887e-38
